"","Sequence","species","English.name","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","wing.lcentr","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","category.n","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","threatened","hits"
"545",2635,"Larus schistisagus","Slaty-backed Gull","Laridae","Charadriiformes","AVIBASE-456C7FAE",4,2,2,0,4,68.1,24.8,9.2,19.6,68.2,1.655872347,435,231,204,53.1,171.5,1323,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Omnivore","Generalist",40.6,66.86,53.48,145.75,1114985.14,22694362,1,0,0,0,0,0,0,0,0,0,0,0,0,3.29168647,1.473824436,-0.038237683,3,9.509962568,1.199134271,0,5.24324324324324
"546",2636,"Larus glaucescens","Glaucous-winged Gull","Laridae","Charadriiformes","AVIBASE-03AC32BA",4,2,2,0,4,69.8,25.2,9.2,19.7,65.2,1.531883496,411.8,218.2,193.5,53,166,1056.5,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Generalist",45.49,65.31,58.07,-98.43,899194.26,22694334,1,0,0,0,0,0,0,0,0,0,0,0,0,3.066746143,1.258727175,-0.105500057,2.75,13.81947507,2.094655275,0,5.45495495495495
"547",2637,"Larus hyperboreus","Glaucous Gull","Laridae","Charadriiformes","AVIBASE-A59FA446",8,4,4,0,4,76.5,28.2,11,22.4,71.2,1.805514064,463,240.9,223.7,51.8,188.2,1529,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Omnivore","Generalist",57.58,84.2,74.66,-40.85,2430897.95,22694343,1,0,0,0,0,0,0,0,0,0,0,0,0,3.436398512,2.253244074,-0.092047583,2.8,10.6158173,1.428931989,0,9.83783783783784
"548",2638,"Larus marinus","Great Black-backed Gull","Laridae","Charadriiformes","AVIBASE-E826E9F3",10,4,5,1,3,79.1,28,10.2,23.5,74.2,1.886748139,478.2,248.1,227.2,52.3,185.7,1649.7,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Omnivore","Omnivore","Terrestrial",27.94,79.87,60.23,-19.59,1075355.21,22694324,1,0,0,0,0,0,1,0,0,0,0,0,0,3.512378038,1.437634394,-0.038237683,3,12.51374299,1.823322844,0,12.4459459459459
"549",2639,"Onychoprion aleuticus","Aleutian Tern","Laridae","Charadriiformes","AVIBASE-BEE4F34A",5,2,3,0,4,37.3,23.2,4.1,6.5,17.3,0.732369178,262.2,185,82,69.3,152.4,120,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",45.64,65.4,55.49,-13.03,1225260.49,22694716,3,0,1,0,0,0,1,1,0,0,0,1,0,0.891521049,1.568136825,-0.342263614,1.87,8.94876682,1.082517233,1,2.55405405405405
"550",2640,"Onychoprion fuscatus","Sooty Tern","Laridae","Charadriiformes","AVIBASE-3E7F825D",9,4,5,0,8,47.9,29.3,5.4,8.1,21,0.831239598,280.7,189.1,91.1,67.5,152.1,185.7,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-38.74,33.06,6.81,115.01,180205.31,22694740,1,0,1,0,0,0,1,0,0,0,0,1,0,1.328161774,-0.348675108,-0.576336676,1,11.30209759,1.571541719,0,11.0675675675676
"551",2641,"Onychoprion anaethetus","Bridled Tern","Laridae","Charadriiformes","AVIBASE-E6518B9D",6,3,3,0,4,45.5,28.4,5.4,7.9,20.6,0.793294734,273.6,182,89,67.2,182.8,119.4,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-32.93,30.31,-1.01,91.99,5130540.82,22694730,1,0,0,0,0,0,1,1,0,0,0,0,0,0.886508507,3.000194435,-0.576336676,1,10.06750748,1.31499266,0,7.8018018018018
"552",2643,"Sternula albifrons","Little Tern","Laridae","Charadriiformes","AVIBASE-17310BF0",5,3,2,0,4,33.5,22.9,3.2,5.8,15.4,0.237482642,169.6,117,50.5,69.8,80,57,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",-43.03,66.08,40.45,68.18,11965931.09,22694656,1,0,1,1,0,0,1,1,0,0,0,1,0,0.147080574,3.847046895,-0.25347728,2.2,9.562075141,1.209963315,0,14.0945945945946
"553",2645,"Sternula antillarum","Least Tern","Laridae","Charadriiformes","AVIBASE-BE78E765",8,4,4,0,8,29.5,19.8,3.1,5.6,14.6,0.21343308,165.1,114.2,51,69.1,77.8,45.9,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",10.86,48.16,29.11,-91.26,1340830.63,22694673,1,0,0,1,0,0,0,1,0,0,0,1,0,-0.069505577,1.658272654,-0.30728718,2,8.372812288,0.962833306,0,23.2252252252252
"554",2648,"Sternula nereis","Fairy Tern","Laridae","Charadriiformes","AVIBASE-67D8B0BA",5,3,1,1,4,35.3,23.5,3.5,6.5,15.1,0.283444026,178.2,126,54,70,80.6,72.3,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-43.25,-19.38,-30.98,152.78,250434.51,22694691,3,0,1,1,0,0,0,1,1,0,0,1,0,0.384853435,-0.019574471,-0.369168564,1.77,8.097604208,0.905644792,1,17.2747747747748
"555",2653,"Hydroprogne caspia","Caspian Tern","Laridae","Charadriiformes","AVIBASE-BC06BC0D",10,5,5,0,4,78.7,49.1,10.4,19.2,42.6,1.526004714,410.7,268.2,143.1,65.1,148.7,655,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aerial",-46.99,65.99,7.58,76.67,6293644.91,22694524,1,0,0,0,0,0,1,1,0,0,0,0,0,2.588664542,3.204523738,-0.246751043,2.225,9.749406689,1.248890998,0,29.3693693693694
"556",2654,"Larosterna inca","Inca Tern","Laridae","Charadriiformes","AVIBASE-FF6C3B9C",5,2,3,0,4,48.8,25.5,4.8,10.1,23.4,0.812534383,277.2,163.5,112.2,59.3,132.8,219,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-35.04,-5.94,-19.15,-74.69,476735.99,22694834,2,0,1,0,1,0,1,0,0,0,0,1,0,1.493101036,0.624190937,NA,NA,6.916411186,0.660191702,0,10.1711711711712
"557",2655,"Chlidonias albostriatus","Black-fronted Tern","Laridae","Charadriiformes","AVIBASE-37868999",5,0,3,2,4,29.9,17.8,3.6,6.5,17.1,0.611586935,239.6,154.8,85,64.5,108.2,94.7,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-46.68,-40.5,-44.17,170.87,93279.7,22694750,4,0,1,0,0,0,0,1,1,0,0,0,0,0.654743306,-1.007169414,NA,NA,5.282619277,0.320688111,1,6.0045045045045
"558",2656,"Chlidonias hybrida","Whiskered Tern","Laridae","Charadriiformes","AVIBASE-7AB4E42B",6,3,3,0,4,35,20.1,4.3,7.5,23,0.569901028,231.8,144.5,82.8,63.6,85.8,83.7,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aerial",-38.03,55.74,13.76,62.26,10089513.85,22694764,1,0,0,0,0,0,0,0,0,0,0,0,0,0.531268284,3.67648001,-0.13644075,2.635,4.732208415,0.206312184,0,6.76126126126126
"559",2657,"Chlidonias leucopterus","White-winged Tern","Laridae","Charadriiformes","AVIBASE-43CAAEE3",8,4,4,0,4,30,16.7,3.8,5.7,18.7,0.443774438,208.2,126.9,79.9,61.4,75.4,54.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aerial",29.41,70,51.26,83.1,10229425.04,22694782,1,0,0,0,0,0,0,0,0,0,0,0,0,0.096710215,3.690251734,-0.062452138,2.91,4.381329141,0.13339912,0,3.98648648648649
"560",2658,"Chlidonias niger","Black Tern","Laridae","Charadriiformes","AVIBASE-115AF02D",10,4,5,1,8,31.1,18.4,3.5,5.4,15.8,0.409036182,201.7,123.7,75,62.1,77.8,65.3,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aerial",35.73,63.05,50.61,-10.11,12943719.56,22694787,1,1,1,0,0,0,0,0,1,0,0,1,0,0.283021342,3.925594053,-0.038237683,3,5.682020735,0.403684133,0,44.463963963964
"561",2659,"Sterna aurantia","River Tern","Laridae","Charadriiformes","AVIBASE-A874F334",5,2,2,1,4,43.5,28,5.6,10.4,20.3,0.732369178,262.2,166.8,97.8,63,168.2,209,"Inferred",NA,"YES","Body Mass","Thalasseus bengalensis","Riverine",3,2,"Carnivore","Aquatic predator","Aerial",8.07,35.62,22.13,85.35,5428999.73,22694537,3,1,1,1,1,1,1,1,1,0,0,1,0,1.446363558,3.056738264,-0.038237683,3,7.860724675,0.856420989,1,30.4459459459459
"562",2660,"Sterna dougallii","Roseate Tern","Laridae","Charadriiformes","AVIBASE-74236837",5,2,3,0,4,45.3,28.9,3.6,7,19.7,0.527146251,223.8,156,69.8,69.1,165.8,112,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-34.84,56.65,4.43,57.82,7673719.23,22694601,1,0,0,0,0,0,1,0,0,0,0,0,0,0.822528177,3.402784763,-0.398764009,1.66,8.35663561,0.959471776,0,11.2747747747748
"563",2664,"Sterna hirundo","Common Tern","Laridae","Charadriiformes","AVIBASE-4D2FF6F1",14,7,6,1,8,44.5,24.2,3.8,7,19.5,0.684804489,253.3,170.6,82.6,67.3,129.8,129.2,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",4.3,71.19,50.38,63.44,30248469.5,22694623,1,0,0,0,0,0,1,1,0,0,0,0,0,0.965390897,4.774428947,-0.172762432,2.5,10.39724168,1.383511757,0,27.3288288288288
"564",2666,"Sterna paradisaea","Arctic Tern","Laridae","Charadriiformes","AVIBASE-BDC5CF80",9,4,5,0,4,37.8,22.8,3.8,7,16.1,0.735041351,262.7,181.1,80.9,69.1,179.6,110,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",41.24,83.11,67.21,-35.32,10398468.44,22694629,1,0,1,0,0,0,1,0,0,0,0,1,0,0.804509672,3.706641889,-0.30728718,2,11.27037394,1.564949513,0,44.1441441441441
"565",2667,"Sterna vittata","Antarctic Tern","Laridae","Charadriiformes","AVIBASE-E9C409B5",5,1,2,2,4,38.9,22.8,4.2,7.4,17.7,0.720611614,260,178.5,84,68,133.2,139,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-67.31,-35.61,-53.86,24.31,2102848.54,22694635,1,0,1,0,0,0,0,0,0,0,0,0,0,1.038503239,2.108276232,-0.441811928,1.5,8.740737008,1.039288431,0,7.34234234234234
"566",2669,"Sterna forsteri","Forster's Tern","Laridae","Charadriiformes","AVIBASE-D13B9122",5,2,3,0,4,45.3,28,4.9,8.8,24.3,0.681063446,252.6,173.5,79,68.7,131.4,149,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aerial",25.88,55.17,46.22,-104.5,1801878.95,22694646,1,0,0,0,0,0,0,0,0,0,0,0,0,1.107975612,1.95381334,-0.038237683,3,7.679346806,0.818730486,0,5.81531531531532
"567",2672,"Thalasseus bengalensis","Lesser Crested Tern","Laridae","Charadriiformes","AVIBASE-D01CDECD",5,2,3,0,4,58.5,39.4,5.8,9.8,24.5,0.898043936,293.2,206,90.2,69.4,134.4,209,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",-27.96,33.32,4.08,93.92,1690030.71,22694561,1,0,0,0,0,0,0,0,0,0,0,0,0,1.446363558,1.889730059,-0.576336676,1,8.2810125,0.943757219,0,11.0765765765766
"568",2673,"Thalasseus bernsteini","Chinese Crested Tern","Laridae","Charadriiformes","AVIBASE-FCEF84DC",7,1,5,1,7,59.9,41.7,7.1,11.7,29.8,1.036462525,319.1,213.9,105.3,67,160.7,284,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",23.62,35.24,31.3,123.34,57.88,22694585,5,0,1,1,0,0,1,1,0,1,0,1,0,1.753003544,-8.392155298,NA,NA,8.027036678,0.890980789,1,2.56756756756757
"569",2674,"Thalasseus elegans","Elegant Tern","Laridae","Charadriiformes","AVIBASE-3F9E1C51",5,2,3,0,4,64.4,44.6,5.8,10.3,28.2,0.916214716,296.6,194.5,97.5,66.6,126.6,260,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",24.14,33.83,31.85,-116.3,1309.31,22694552,2,0,1,0,0,0,1,1,0,0,0,1,0,1.664710937,-5.273271639,-0.576336676,1,8.902271266,1.072855411,0,3.37837837837838
"570",2675,"Thalasseus sandvicensis","Sandwich Tern","Laridae","Charadriiformes","AVIBASE-F7504353",14,4,5,5,12,60.5,40.5,5.5,9.7,25.5,0.872925505,288.5,201,88.9,69.3,129,199.8,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-45.89,59.39,3.05,-49.1,2802142.59,22694591,1,0,0,0,0,0,1,1,0,0,0,0,0,1.401346172,2.395367694,-0.519836282,1.21,8.530597521,0.995621235,0,20.6531531531532
"571",2676,"Thalasseus maximus","Royal Tern","Laridae","Charadriiformes","AVIBASE-68EDCC23",10,4,4,2,8,73.7,45.5,8.4,14.9,32.8,1.274820403,363.7,224.1,141,61.4,155.1,415.3,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-45.33,41.98,13.04,-60.22,3285888.83,22694542,1,0,0,0,0,0,1,1,0,0,0,0,0,2.133030457,2.554620546,-0.441811928,1.5,10.50757482,1.406439093,0,27.9369369369369
"572",2677,"Thalasseus bergii","Greater Crested Tern","Laridae","Charadriiformes","AVIBASE-526978C4",5,3,2,0,4,68.6,44.5,7.1,12.7,30,1.243288755,357.8,249,107.5,69.9,172.4,328,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",-44.6,30.73,-10.25,77.11,47808630.76,22694571,1,0,0,0,0,0,1,1,0,0,0,0,0,1.897042914,5.232189542,-0.576336676,1,11.99795478,1.716141538,0,3.66216216216216
"573",2678,"Stercorarius longicaudus","Long-tailed Jaeger","Stercorariidae","Charadriiformes","AVIBASE-1D446440",10,5,5,0,4,32.9,11.2,5.4,9.2,40.7,0.943470886,301.7,181.4,120.2,60.2,245.5,287.9,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",50.63,83.11,69.42,-33.46,6233403.78,22694251,1,0,0,0,0,0,0,0,0,0,0,1,0,1.766642504,3.194905895,-0.30728718,2,7.780979306,0.839849821,0,5.94144144144144
"574",2679,"Stercorarius parasiticus","Arctic Jaeger","Stercorariidae","Charadriiformes","AVIBASE-39086887",14,6,8,0,8,36.1,12,5.7,9,41.5,0.99050114,310.5,188.3,124.5,60.2,172,444.3,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-7.99,81.19,68.31,-11.33,6277591.31,22694245,1,0,0,0,0,0,1,0,0,0,0,1,0,2.200529316,3.201969716,-0.30728718,2,11.21131415,1.552676829,0,6.08558558558559
"575",2680,"Stercorarius pomarinus","Pomarine Jaeger","Stercorariidae","Charadriiformes","AVIBASE-7CB8F5B7",9,4,5,0,4,45.8,16.1,7.2,12.5,52,1.205878326,350.8,196.1,154.5,55.8,175.6,692.5,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-7.99,77.73,70.32,38.74,3233984.08,22694240,1,0,0,0,0,0,0,0,0,0,0,1,0,2.644337544,2.538698197,-0.31266817,1.98,9.47828739,1.192552137,0,7.29279279279279
"576",2681,"Catharacta skua","Great Skua","Stercorariidae","Charadriiformes","AVIBASE-BB041C6E",5,2,3,0,4,54.4,20.1,10.1,17.3,61.7,1.439960726,394.6,210,183.8,53.3,146.4,1338.2,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",57.56,79.56,65.93,0.75,16138.54,22694160,1,0,0,0,0,0,1,0,0,0,0,1,0,3.303110012,-2.76156172,NA,NA,15.04855339,2.350058978,0,8.51801801801802
"577",2682,"Catharacta maccormicki","South Polar Skua","Stercorariidae","Charadriiformes","AVIBASE-7D1A9D5C",5,2,3,0,4,52.7,19.6,9.8,17.6,56.2,1.398274819,386.8,192.8,193,50,135,1347.1,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-82.34,-60.52,-69.84,56.49,109012.82,22694218,1,0,0,0,0,0,0,0,0,0,0,0,0,3.309738719,-0.85130643,NA,NA,15.40321165,2.423757319,0,7.56756756756757
"578",2683,"Catharacta antarctica","Brown Skua","Stercorariidae","Charadriiformes","AVIBASE-4D5D2BC3",12,6,5,1,8,59.2,21.2,11.3,19.5,71.7,1.476302286,401.4,195.1,203,49,148.2,1650,"EltonTraits_Model",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-71.82,-18.55,-50.14,1.56,87990607.82,62289571,1,0,1,0,0,0,0,0,0,0,0,0,0,3.512559873,5.842213438,NA,NA,15.25984399,2.393965376,0,10.1891891891892
"579",2685,"Cerorhinca monocerata","Rhinoceros Auklet","Alcidae","Charadriiformes","AVIBASE-53D94597",4,2,2,0,4,48.5,25.5,8.5,17.6,29.4,0.286650634,178.8,92.9,85.8,52,51.2,482.2,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",33.18,60.51,50.73,-51.05,316387.33,22694924,1,0,1,0,0,0,1,0,0,1,0,1,0,2.282388272,0.21419527,-0.576336676,1,7.084329275,0.695085249,0,9.7027027027027
"580",2686,"Fratercula cirrhata","Tufted Puffin","Alcidae","Charadriiformes","AVIBASE-F7937349",7,3,3,1,4,56,26.4,10.8,36.1,33.4,0.368419144,194.1,96.6,94.9,50.5,57,774.4,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",37.47,69.25,53.66,26.02,1056388.21,22694934,1,0,1,0,0,0,1,1,0,1,0,1,0,2.756117842,1.419839099,-0.576336676,1,9.595511299,1.216911382,0,14.036036036036
"581",2687,"Fratercula arctica","Atlantic Puffin","Alcidae","Charadriiformes","AVIBASE-2771624B",5,2,3,0,4,51,19.7,8.7,30.1,27.9,0.205416559,163.6,83.8,78.5,51.6,46.4,593,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",43.29,81.07,66.06,-36.65,1955692.47,22694927,3,0,1,0,1,0,1,1,0,1,0,1,0,2.489223705,2.035727694,-0.576336676,1,14.22956209,2.179871767,1,27.7117117117117
"582",2688,"Fratercula corniculata","Horned Puffin","Alcidae","Charadriiformes","AVIBASE-24111FA5",6,3,3,0,4,51,16.8,7.3,31.6,32.1,0.32245776,185.5,96.8,88.4,52.3,63.3,536.1,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",45.26,72.43,56.55,-4.48,1467964.71,22694931,1,0,1,0,0,0,1,0,0,0,0,0,0,2.388350017,1.748860249,-0.576336676,1,9.558374051,1.209194225,0,12.2567567567568
"583",2689,"Ptychoramphus aleuticus","Cassin's Auklet","Alcidae","Charadriiformes","AVIBASE-2CF6D6F6",4,2,2,0,4,24,13.2,6.6,8.5,23.5,-0.022252625,121,49.2,71.8,40.7,32.2,184,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",26.99,57.37,48.89,-110.42,122916.8,22694903,2,0,1,0,0,0,1,1,0,1,0,1,0,1.318965064,-0.731264217,-0.576336676,1,6.853379493,0.647093653,0,4.36486486486486
"584",2690,"Aethia psittacula","Parakeet Auklet","Alcidae","Charadriiformes","AVIBASE-2B46719D",4,2,2,0,4,20.1,8.8,6.2,12.6,29.4,0.112424921,146.2,60.2,86.1,41.1,39,270,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",46.63,66.76,56.09,-57.81,400570.42,22694906,1,0,1,0,0,0,1,0,0,1,0,1,0,1.702451265,0.450117661,-0.576336676,1,8.204461289,0.9278498,0,4.13063063063063
"585",2691,"Aethia pusilla","Least Auklet","Alcidae","Charadriiformes","AVIBASE-044509DA",5,2,3,0,4,15,5.7,5,6.4,19,-0.164412256,94.4,37.7,55.6,40.4,27,84,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",47.78,66.43,56.93,-4.91,65157.07,22694921,1,0,1,0,0,0,0,0,0,0,0,1,0,0.534846105,-1.365971104,-0.576336676,1,6.690182652,0.613181187,0,1.66216216216216
"586",2692,"Aethia pygmaea","Whiskered Auklet","Alcidae","Charadriiformes","AVIBASE-E3893615",4,2,2,0,4,15.9,6,4.9,7.3,22.6,-0.069282879,112.2,45.8,66.4,40.8,31.2,112,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",45.16,61.96,52.42,92.8,128454.73,22694918,1,0,0,0,0,0,0,0,0,0,0,1,0,0.822528177,-0.687195374,-0.576336676,1,7.035405446,0.684918828,0,2.68468468468468
"587",2693,"Aethia cristatella","Crested Auklet","Alcidae","Charadriiformes","AVIBASE-3DC4EBB8",5,2,3,0,4,21.1,7.1,6.1,10.9,27.4,0.076083361,139.4,61,77.2,44.1,38,259.4,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",46.33,66.24,55.91,31.33,479141.29,22694915,1,0,1,0,0,0,1,0,0,1,0,1,0,1.662400578,0.629223602,-0.576336676,1,8.43702878,0.976177557,0,7.03153153153153
"588",2694,"Brachyramphus perdix","Long-billed Murrelet","Alcidae","Charadriiformes","AVIBASE-0518820F",5,2,2,1,4,31.3,18.1,4.6,6.5,17,0.050430495,134.6,78.8,55,58.9,31.8,220,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",42.44,63,54.22,149.82,1124351.71,22729000,2,0,0,0,0,0,1,0,0,1,0,0,0,1.497656852,1.48218997,-0.576336676,1,6.163085885,0.503649952,0,0.812182741116751
"589",2695,"Brachyramphus marmoratus","Marbled Murrelet","Alcidae","Charadriiformes","AVIBASE-31557374",4,1,2,1,4,24.9,14.4,4.1,5.8,15.2,-0.008891757,123.5,72.2,51.2,58.4,31,220,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",40.85,61.51,54.13,-124.73,1672345.18,22694870,4,0,1,0,0,0,1,1,0,1,0,1,0,1.497656852,1.879210299,-0.576336676,1,6.559886244,0.586105463,1,15.036036036036
"590",2697,"Cepphus grylle","Black Guillemot","Alcidae","Charadriiformes","AVIBASE-B5AA5952",4,2,2,0,4,38.1,22.4,5.9,9.5,29.8,0.154110828,154,66.5,87.5,43.1,51,378,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",43.21,82.01,68.63,-1.36,2115522.94,22694861,1,0,1,0,0,0,1,0,0,1,0,0,0,2.038923502,2.114285393,-0.30728718,2,9.218016945,1.138467678,0,14.2432432432432
"591",2698,"Cepphus columba","Pigeon Guillemot","Alcidae","Charadriiformes","AVIBASE-2F5DF476",5,3,2,0,4,36.5,22.4,6.1,9.9,32,0.25779116,173.4,69.2,103.5,40.1,46.4,530,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",34.29,69.21,55.77,-72.97,1700815.29,22694864,1,0,1,0,0,0,1,0,0,1,0,1,0,2.376906313,1.896091077,-0.30728718,2,7.710186337,0.825138971,0,11.6576576576577
"592",2700,"Synthliboramphus antiquus","Ancient Murrelet","Alcidae","Charadriiformes","AVIBASE-ACA4FEFE",4,2,2,0,4,23.6,12.7,5,7.1,25.9,0.055240407,135.5,70.2,65.2,51.9,35.5,217.7,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",28.93,59.9,50.68,-15.49,435862.76,22694896,1,0,1,0,0,0,0,0,0,0,0,1,0,1.487147274,0.534555503,-0.30728718,2,5.455651679,0.356644417,0,6.13963963963964
"593",2701,"Synthliboramphus wumizusume","Japanese Murrelet","Alcidae","Charadriiformes","AVIBASE-A332A7CE",4,2,1,1,4,23.4,13.4,5,7.4,24,-0.026528102,120.2,59.5,60.8,49.5,50,198,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",29.67,41.82,34.63,134.76,571030.78,22694899,3,0,1,0,0,0,1,0,0,1,0,0,0,1.392296337,0.804671193,-0.30728718,2,4.794461003,0.219248334,1,3.03153153153153
"594",2703,"Synthliboramphus hypoleucus","Guadalupe Murrelet","Alcidae","Charadriiformes","AVIBASE-2A8D086D",4,2,2,0,3,26.5,16.6,4.3,6.3,23,-0.029200276,119.7,58.3,61.3,48.8,39.2,167,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",24.78,34.65,29.85,-117.49,406457.35,62101215,4,0,1,0,0,0,1,0,0,1,0,1,0,1.222023119,0.464707083,-0.361097079,1.8,5.360586647,0.336889808,1,7.40540540540541
"595",2705,"Alca torda","Razorbill","Alcidae","Charadriiformes","AVIBASE-64F4DD81",6,2,2,2,4,42.8,21.1,9.2,23.1,32.4,0.449653219,209.3,116.5,88.5,56.8,94.7,726,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",43.1,76.41,61.38,-19.93,1228730.51,22694852,1,0,1,0,1,0,1,0,0,1,0,1,0,2.691579321,1.570964889,-0.576336676,1,16.36956071,2.624565619,0,19.6711711711712
"596",2707,"Alle alle","Little Auk","Alcidae","Charadriiformes","AVIBASE-B0932D89",6,3,2,1,4,20.2,11.5,7.6,8.3,20.1,-0.050043229,115.8,59.5,56.2,51.3,34.3,180.7,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",64.2,82.41,78.43,51.1,375517.37,22694837,1,0,0,0,1,0,1,0,0,1,0,1,0,1.300867504,0.385532808,-0.576336676,1,9.847228032,1.269218371,0,6.12162162162162
"597",2708,"Uria lomvia","Thick-billed Murre","Alcidae","Charadriiformes","AVIBASE-B70B5840",5,2,3,0,4,49.3,27.3,8.6,14.3,33.2,0.436292352,206.8,106.8,99.2,51.9,44.4,964,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",45.73,81.71,67.57,13.09,2199476.8,22694847,1,0,0,0,0,0,1,0,0,0,0,1,0,2.975120601,2.153202873,-0.576336676,1,12.9330039,1.91044568,0,4.30630630630631
