"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"131","Plectrophenax hyperboreus","McKay's Bunting",10251,"Calcariidae","Passeriformes","AVIBASE-85BA79C0",4,1,2,1,4,13.9,8.7,5.2,6.3,21.3,110.5,40.4,70.1,36.6,79.5,54.5,"Dunning",NA,"NO",NA,NA,0,3,3,"Omnivore","Granivore","Terrestrial",57.1,63.79,63.11,-170.47,5375.35,22721046,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-2.226789743,-0.503598369,-0.198683815,2.139994636,5.115,2.669596026,-3.676087944,1.57657657657658
"132","Crex egregia","African Crake",1810,"Rallidae","Gruiformes","AVIBASE-09A0F2EB",5,2,3,0,4,25.1,13.1,3.6,6.9,43,121.2,25.9,96.4,21.1,38.4,119,"Dunning",NA,"NO",NA,NA,0,2,3,"Carnivore","Omnivore","Terrestrial",-30.91,16.83,-5.1,21,11681471.46,22692539,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5.4571458,0.277324422,-0.154770326,2.231889185,5.2,2.677801488,-3.661938528,5.57207207207207
"133","Sturnella magna","Eastern Meadowlark",10451,"Icteridae","Passeriformes","AVIBASE-27410227",13,4,8,1,6,33.5,20,6.1,8.2,39.8,108.1,28.4,86.1,24.8,67.4,91.8,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Invertivore","Terrestrial",-2.91,50.71,30.39,-84.52,7031582.36,22735434,2,0,1,0,0,0,0,0,1,0,1,0,0,0,4.94955362,0.017813227,-0.20853357,2.015666717,5,2.6782694,-3.661131666,16.0585585585586
"134","Amaurornis marginalis","Striped Crake",1858,"Rallidae","Gruiformes","AVIBASE-13967506",5,2,3,0,4,19.8,10.5,3.4,6.3,34.8,104.2,30.8,73,29.6,46.6,51.2,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Terrestrial",-24.87,13.27,-11.18,29.21,3857317.95,22692729,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.34911396,-0.566059539,-0.224539421,NA,NA,2.683467591,-3.652167958,1.56756756756757
"135","Acrocephalus griseldis","Basra Reed-warbler",7566,"Acrocephalidae","Passeriformes","AVIBASE-0D42A253",5,2,3,0,4,21.2,12.9,4,3.8,24.2,79.9,23.2,56.4,29.2,64,16.7,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Insessorial",28.93,34.61,31.95,45.59,105982.42,22714757,4,1,0,0,1,1,0,1,1,1,0,0,1,0,0.7546598,-1.686390352,-0.324268186,1.150776844,4.2,2.688434462,-3.643603136,1.26126126126126
"136","Lanius ludovicianus","Loggerhead Shrike",6902,"Laniidae","Passeriformes","AVIBASE-36171C2B",11,2,9,0,4,21.1,12.3,6.5,8.8,27.7,96.4,21.7,74.2,22.6,96.7,51.6,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Insessorial",16.1,55.52,38.03,-101.11,8852504.29,22705042,2,0,1,1,0,0,1,1,0,0,1,0,1,0,5.17984224,-0.558277399,-0.256551123,2.015666717,5,2.702084494,-3.620065159,21.8693693693694
"137","Vireo osburni","Blue Mountain Vireo",6414,"Vireonidae","Passeriformes","AVIBASE-A505AE50",9,2,7,0,3,17.3,9.2,4.9,5.7,21.7,72.9,10.7,62.2,14.6,56.6,19.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",17.7,18.53,18.16,-77.31,11021.79,22705225,2,0,1,0,0,0,1,1,0,1,0,0,0,0,-1.508739209,-1.511079339,-0.352996637,NA,NA,2.717288808,-3.593846995,1.68468468468468
"138","Chlorochrysa nitidissima","Multicolored Tanager",11069,"Thraupidae","Passeriformes","AVIBASE-2920E66B",7,2,4,1,3,12.2,8.2,3.9,4.5,18.1,66.9,16.2,51.5,24,43.6,18.6,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",2.45,7.23,5.04,-75.9,16794.51,22722799,2,0,1,0,1,1,1,1,0,0,0,0,0,0,-1.087561384,-1.57863749,-0.377621023,NA,NA,2.729081512,-3.573511775,4.57207207207207
"139","Alectrurus risora","Strange-tailed Tyrant",5809,"Tyrannidae","Passeriformes","AVIBASE-C93300CA",4,2,2,0,4,17.8,9.8,6.3,4.6,23.2,73,16.2,56.8,22.3,156.2,21,"Updated_literature","Dunning (2021)","NO",NA,NA,0,3,3,"Carnivore","Invertivore","Insessorial",-28.8,-24.45,-26.39,-56.9,98768.33,22700303,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0.68416358,-1.457276633,-0.35258623,-0.146557964,3,2.74042875,-3.553944713,1.48198198198198
"140","Petroica phoenicea","Flame Robin",7129,"Petroicidae","Passeriformes","AVIBASE-D3766504",11,5,6,0,4,13,6.8,3.4,3,18.8,77.6,21.7,56.5,27.7,54.7,13,"Dunning",NA,"NO",NA,NA,0,2,3,"Carnivore","Invertivore","Insessorial",-43.64,-28.98,-37.96,147.06,218089.7,22704819,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1.47629302,-1.936849714,-0.333707534,0.123720121,3.25,2.74552321,-3.545159878,26.009009009009
"141","Anthus antarcticus","South Georgia Pipit",9974,"Motacillidae","Passeriformes","AVIBASE-AAA4D21C",4,1,3,0,4,16.1,9.8,3.2,3.5,23.6,81.8,17.1,64.7,20.9,63.5,36.1,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Invertivore","Terrestrial",-54.89,-53.98,-54.37,-37,608.33,22718588,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-4.405651212,-0.915506206,-0.316470463,NA,NA,2.75754043,-3.524437506,4.05855855855856
"142","Agapornis fischeri","Fischer's Lovebird",4434,"Psittacidae","Psittaciformes","AVIBASE-E1EE00F7",5,2,3,0,4,18.8,16.6,11,16.7,14.4,93,37.4,55.4,40.4,42.6,48.3,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Insessorial",-4.9,-1.14,-3.02,34.28,133888.77,22685346,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0.98839595,-0.62436751,-0.270504942,2.556222887,5.5,2.760937773,-3.518579162,11.7027027027027
"143","Agapornis nigrigenis","Black-cheeked Lovebird",4437,"Psittacidae","Psittaciformes","AVIBASE-DAB4D2A2",9,3,5,1,8,16,13.9,9.7,14.7,13,92.8,39.4,53.4,42.5,39.8,40.5,"Updated_literature","BoW","NO",NA,NA,0,2,1,"Herbivore","Granivore","Generalist",-17.78,-16.02,-16.86,25.5,14343.6,22685360,3,1,1,1,0,0,0,1,0,1,0,0,1,0,-1.245309581,-0.800497097,-0.271325755,1.907555483,4.9,2.770009832,-3.502935396,3.49099099099099
"144","Aegithina viridissima","Green Iora",6630,"Aegithinidae","Passeriformes","AVIBASE-418B6BE2",7,3,4,0,4,15.9,10.6,4.2,4.4,17.7,61.9,7,54.7,11.4,43.9,13.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-6.17,12.67,1.02,108.24,1109607.12,22707440,2,0,1,0,0,0,0,1,0,1,0,0,0,0,3.10314785,-1.906544364,-0.398141345,-1.227670305,2,2.774580989,-3.495052939,3.78378378378378
"145","Pipilo chlorurus","Green-tailed Towhee",10357,"Passerellidae","Passeriformes","AVIBASE-45D829B3",5,2,3,0,4,15.1,9.3,4.7,6.9,24.1,77.6,13.1,64.9,16.8,87.6,29.4,"Dunning",NA,"NO",NA,NA,0,2,3,"Omnivore","Omnivore","Generalist",30.27,48.81,39.82,-112.47,1737517.52,22721304,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.55159923,-1.120804397,-0.333707534,0.934554376,4,2.780343374,-3.485116341,4.14864864864865
"146","Grantiella picta","Painted Honeyeater",6012,"Meliphagidae","Passeriformes","AVIBASE-56DDD096",7,1,3,3,4,16.9,8.9,3.4,3.9,17.4,87,29.5,55.9,34.6,51.9,21.5,"Dunning",NA,"NO",NA,NA,0,2,3,"Herbivore","Omnivore","Insessorial",-38.45,-23.36,-33.42,147.08,374029.06,22704412,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2.01572006,-1.433746136,-0.295129328,-1.227670305,2,2.79658042,-3.457117344,6.55855855855856
"147","Laterallus spilonota","Galapagos Rail",1760,"Rallidae","Gruiformes","AVIBASE-B757AC6B",5,2,3,0,4,16.1,8.6,2.4,3.9,20.9,65.8,16.8,48.5,25.7,24.2,40.2,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Omnivore","Terrestrial",-1.32,0.62,-0.63,-90.84,2021.77,22692366,3,1,1,1,0,0,1,0,0,0,0,0,1,0,-3.204640066,-0.807932075,-0.382135494,1.150776844,4.2,2.79689347,-3.456577523,6.17117117117117
"148","Nesospiza questi","Nightingale Finch",11004,"Thraupidae","Passeriformes","AVIBASE-4DB8A059",4,2,2,0,4,16.5,10.1,4.6,7.2,23.3,79,16.1,62.9,20.4,67,28.5,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Omnivore","Generalist",-37.43,-37.41,-37.42,-12.48,2.47,22735345,3,1,0,1,0,0,0,0,0,0,0,0,0,0,-9.912150559,-1.151894984,-0.327961844,NA,NA,2.797807309,-3.455001709,8.5
"149","Geospiza heliobates","Mangrove Finch",10840,"Thraupidae","Passeriformes","AVIBASE-BEC9AB71",4,2,2,0,4,17.2,11.1,5.1,7.1,23.6,71,11.8,59.2,16.6,42.5,18,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-0.26,-0.2,-0.23,-91.38,12.04,22723786,5,1,0,1,0,0,0,1,0,0,0,0,1,0,-8.32813427,-1.611427313,-0.360794359,NA,NA,2.805190562,-3.442270102,6.92792792792793
"150","Motacilla alba","White Wagtail",10016,"Motacillidae","Passeriformes","AVIBASE-400E032C",27,11,16,0,10,16.1,9.7,3.4,3.5,23.4,87,27.4,59.7,31.4,86.8,23.9,"Dunning",NA,"NO",NA,NA,1,3,3,"Carnivore","Invertivore","Terrestrial",22.95,76,52.86,81.67,39488711.64,22718348,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6.6751567,-1.327920612,-0.295129328,2.285944802,5.25,2.805220482,-3.442218508,18.0540540540541
"151","Pitta nympha","Fairy Pitta",4536,"Pittidae","Passeriformes","AVIBASE-0ECBA406",5,1,3,1,4,25.3,16.7,6.8,8.7,40.8,121.4,30,91.8,24.6,39.1,88.3,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Terrestrial",21.9,37.31,27.62,114.09,1165759.28,22698684,3,1,1,0,1,1,0,1,0,1,0,0,0,0,3.15251447,-0.021058963,-0.153949513,1.907555483,4.9,2.844189456,-3.375020805,8.02252252252252
"152","Oriolus isabellae","Isabela Oriole",6267,"Oriolidae","Passeriformes","AVIBASE-D25D1A71",5,1,4,0,2,28.3,17.6,8.4,8.3,23.7,112.8,20.7,92.8,18.3,82.1,46.1,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Frugivore","Insessorial",16.47,18.38,17.5,122.01,1081.94,22706378,5,1,1,1,0,0,0,1,0,0,0,0,1,0,-3.829857705,-0.670986121,-0.189244467,NA,NA,2.845600842,-3.372587025,5.68468468468468
"153","Emarginata schlegelii","Karoo Chat",9322,"Muscicapidae","Passeriformes","AVIBASE-EA459C8C",12,5,7,0,4,18.1,9.3,3.3,3.4,29.7,94.7,23.9,70,25.4,66.2,23.3,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Generalist",-34.01,-11.84,-26.81,19.41,1144740.06,22710359,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.13431944,-1.35334571,-0.263528033,-0.362780432,2.8,2.852097371,-3.361384477,13.045045045045
"154","Pyrrholaemus sagittatus","Speckled Warbler",6191,"Acanthizidae","Passeriformes","AVIBASE-A68B1787",17,5,12,0,4,11.6,6.1,2.5,3,20,60.8,10.2,50.5,16.7,48.9,13.3,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Terrestrial",-39.51,-21.71,-30.65,147.98,1269134.5,22728490,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3.23747702,-1.914035036,-0.402655816,0.123720121,3.25,2.860636075,-3.346660422,4.62162162162162
"155","Caligavis chrysops","Yellow-faced Honeyeater",6144,"Meliphagidae","Passeriformes","AVIBASE-C6170551",24,11,13,0,4,16.5,7.8,2.6,3.3,18.2,78.1,15,62,19.5,67.1,17.3,"Dunning",NA,"NO",NA,NA,0,2,3,"Herbivore","Omnivore","Insessorial",-39.68,-15.09,-30.25,146.69,1457474.72,22704052,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.37584714,-1.651092569,-0.331655502,-0.822253177,2.375,2.892168363,-3.292286465,2.83333333333333
"156","Falco araeus","Seychelles Kestrel",4041,"Falconidae","Falconiformes","AVIBASE-36C7BFDE",5,2,3,0,4,17.3,11.4,8.1,9.5,31.7,151.8,68.8,83.2,45.3,98.8,79.8,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Vertivore","Insessorial",-4.8,-4.28,-4.58,55.49,222.23,22696380,3,1,1,1,1,0,0,1,0,1,1,0,0,0,-5.412655828,-0.122275567,-0.029185955,-0.146557964,3,2.898068294,-3.282112684,2.74324324324324
"157","Cuculus saturatus","Himalayan Cuckoo",1719,"Cuculidae","Cuculiformes","AVIBASE-565F83B3",5,3,2,0,4,24.8,15.3,6.4,7.5,21.6,182.6,87.4,95.3,47.8,146.4,87,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",17.66,69.44,52.86,104.25,16826585.93,22734715,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.82210198,-0.035890952,0.097219229,NA,NA,2.899773264,-3.279172651,4.59459459459459
"158","Heteromirafra archeri","Liben Lark",7288,"Alaudidae","Passeriformes","AVIBASE-216207A9",5,2,3,0,5,15,9.2,4.5,4.9,27.5,79.7,11.4,68.3,14.3,53.8,30,"Updated_literature","BoW","NO",NA,NA,0,3,1,"Omnivore","Omnivore","Terrestrial",5.22,9.47,8.55,42.31,121.01,84543703,5,1,1,1,0,0,0,0,1,1,0,0,1,0,-6.020495523,-1.100601689,-0.325088999,NA,NA,2.911378451,-3.259160784,4.8963963963964
"159","Delichon urbicum","Northern House Martin",7686,"Hirundinidae","Passeriformes","AVIBASE-30FEC6BE",33,18,15,0,4,10.7,4.8,3.7,2.9,11.3,108.1,58.9,49.5,54.3,61.3,14.5,"Dunning",NA,"NO",NA,NA,1,3,3,"Carnivore","Invertivore","Aerial",28.02,70.31,51.81,42.81,16377219.72,103811886,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5.79503318,-1.827650422,-0.20853357,0.934554376,4,2.918935158,-3.246130075,12.6036036036036
"160","Chrysomma altirostre","Jerdon's Babbler",8088,"Sylviidae","Passeriformes","AVIBASE-2095825C",5,2,3,0,4,12.2,7.4,3.8,5.6,24.9,60,5.7,54.1,9.5,90.8,20,"EltonTraits_Model",NA,"NO",NA,NA,0,3,1,"Carnivore","Invertivore","Insessorial",16.58,31.21,26.06,83.35,47346.58,22716326,3,1,1,0,1,0,0,1,0,1,0,0,0,0,-0.05111884,-1.506066797,-0.405939067,NA,NA,2.923063105,-3.239011885,0.918918918918919
"161","Laniarius mufumbiri","Papyrus Gonolek",6675,"Malaconotidae","Passeriformes","AVIBASE-1E5D636D",8,3,4,1,3,23.7,12.6,5.5,6.7,32.3,89.8,6.4,83.3,7.2,80.5,41.5,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-3.5,3.04,-0.15,31.65,98961.39,22707593,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0.68611634,-0.776105644,-0.283637948,-1.227670305,2,2.927507532,-3.231347961,1.48198198198198
"162","Geospiza pallida","Woodpecker Finch",10841,"Thraupidae","Passeriformes","AVIBASE-AA7BFE29",5,2,3,0,4,17.1,11.2,5.2,7.4,22.6,69,10.2,58.6,14.8,40.2,23.1,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-1.05,0.17,-0.57,-90.88,6852.84,22723783,2,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.983950266,-1.361966453,-0.369002488,NA,NA,2.928293968,-3.229991838,23.3873873873874
"163","Icterus northropi","Bahama Oriole",10507,"Icteridae","Passeriformes","AVIBASE-C70AA182",3,2,1,0,3,23.5,15.1,5.2,6.4,23.9,90.1,18.2,72,20.1,84.2,40,"Updated_literature","Dunning (2021)","NO",NA,NA,0,2,1,"Omnivore","Omnivore","Insessorial",23.71,25.21,24.49,-77.95,5270.32,22736369,4,1,1,1,0,0,0,0,0,1,0,0,1,0,-2.246522349,-0.812919617,-0.282406729,-0.146557964,3,2.934784157,-3.218800222,8.11261261261261
"164","Psophodes nigrogularis","Western Whipbird",6359,"Psophodidae","Passeriformes","AVIBASE-D57E208D",3,0,2,1,1,23.4,13,4.3,7.1,27.9,80.5,9.9,68.1,12.7,116,44.5,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Terrestrial",-36.08,-32.99,-34.34,125.45,70357.84,22705330,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.34498079,-0.706309882,-0.321805747,-1.227670305,2,2.963300272,-3.169627323,3.31981981981982
"165","Phylidonyris novaehollandiae","New Holland Honeyeater",5975,"Meliphagidae","Passeriformes","AVIBASE-DF9A1A25",21,7,12,2,4,22.8,9.8,2.9,4,21.8,77.9,17,59,22.4,75.4,20.2,"Dunning",NA,"NO",NA,NA,0,2,2,"Herbivore","Nectarivore","Insessorial",-43.64,-25,-34.87,140.14,851798.64,22704361,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.83873673,-1.496116467,-0.332476315,-0.741169751,2.45,2.971997559,-3.15462981,23.1036036036036
"166","Todiramphus gambieri","Tuamotu Kingfisher",3503,"Alcedinidae","Coraciiformes","AVIBASE-C7C7C1AE",1,0,1,0,1,36,29,11.8,9,15.8,90,17,73,18.9,66,39,"Updated_literature","Dunning (2021)","NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-16.19,-16.12,-16.15,-146.36,25.36,22683499,5,1,1,1,0,0,0,0,0,0,0,0,1,0,-7.58319558,-0.838237425,-0.282817135,NA,NA,2.983640783,-3.134552352,3.22072072072072
"167","Oreoscopus gutturalis","Fernwren",6167,"Acanthizidae","Passeriformes","AVIBASE-A902336F",10,4,6,0,2,18.7,10.7,2.9,3.6,22.2,64.8,8.3,55.2,13,44.8,20,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",-20.15,-14.84,-17.83,145.35,102359.75,22704520,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.71988014,-1.506066797,-0.386239558,-1.227670305,2,2.992452947,-3.119356746,3.64414414414414
"168","Falco naumanni","Lesser Kestrel",4037,"Falconidae","Falconiformes","AVIBASE-BECA271F",9,4,5,0,4,19.8,13,9.5,11,29.9,229.3,123.4,105.7,53.9,132.4,152.1,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Generalist",28.16,58.39,44.83,68.24,9560575.62,22696357,1,0,1,0,1,1,1,1,0,1,1,0,1,0,5.25678978,0.522739128,0.288879036,1.150776844,4.2,2.996853971,-3.111767665,14.7612612612613
"169","Pselliophorus luteoviridis","Yellow-green Finch",10363,"Passerellidae","Passeriformes","AVIBASE-BCFC9B1D",4,3,1,0,4,17.3,10.1,5.3,7.2,25.9,80.5,9.7,70.8,12.1,86.1,30,"Inferred",NA,"YES","Body Mass","Pselliophorus tibialis",0,1,1,"Omnivore","Omnivore","Generalist",8.45,8.78,8.6,-81.51,1368.85,22721563,3,1,1,0,0,0,0,1,0,1,1,0,0,0,-3.59464246,-1.100601689,-0.321805747,NA,NA,2.999712812,-3.106837909,0.72972972972973
"170","Calendulauda albescens","Karoo Lark",7284,"Alaudidae","Passeriformes","AVIBASE-DD338581",4,2,1,1,4,18.1,10.8,3.8,4.5,24.1,86.2,15.2,71.1,17.6,60,30.4,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Terrestrial",-34.16,-28.14,-31.92,21.23,283792.89,22717176,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.73963128,-1.087356463,-0.29841258,NA,NA,3.00921888,-3.090445741,4.68018018018018
"171","Tangara fastuosa","Seven-colored Tanager",11147,"Thraupidae","Passeriformes","AVIBASE-D808B430",18,3,9,6,4,13,8.6,4.9,6.6,18.5,70.9,14.2,55.1,20.4,50,25.5,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Omnivore","Frugivore","Insessorial",-9.68,-6.93,-8.71,-35.59,15681.33,22722823,3,1,1,0,0,0,1,1,0,1,0,0,0,0,-1.156142598,-1.263120619,-0.361204765,NA,NA,3.012728754,-3.08439335,0.774774774774775
"172","Falco amurensis","Amur Falcon",4054,"Falconidae","Falconiformes","AVIBASE-E6137E65",4,2,2,0,4,17.2,12.2,9,10.2,28.5,234.2,124,110.2,52.9,121.5,141.9,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Insessorial",34.75,56.79,47.59,124.66,2793291.94,22696437,1,0,1,0,0,1,0,1,0,1,0,0,0,0,4.02636266,0.453323513,0.308988952,0.934554376,4,3.02353769,-3.065754531,4.8963963963964
"173","Pedionomus torquatus","Plains-wanderer",2430,"Pedionomidae","Charadriiformes","AVIBASE-1CE50BE8",5,3,2,0,3,16.2,7.5,3.4,3.9,24.4,89,26.1,59.7,30.6,26.8,62.5,"Dunning",NA,"NO",NA,NA,0,3,1,"Omnivore","Omnivore","Terrestrial",-36.43,-23.21,-29.41,142.77,32628.67,22693049,5,1,1,1,0,0,0,1,0,0,1,0,1,0,-0.42342208,-0.366632514,-0.2869212,0.934554376,4,3.023908919,-3.065114387,2.74774774774775
"174","Pomarea nigra","Tahiti Monarch",6831,"Monarchidae","Passeriformes","AVIBASE-3B79D946",10,2,8,0,4,19.3,10.8,5.8,4.9,27.6,90.1,18.3,71.8,20.3,71.3,25.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-17.7,-17.65,-17.67,-149.55,27.52,22707178,5,1,0,1,0,0,0,0,0,0,0,0,1,0,-7.501455697,-1.267049897,-0.282406729,NA,NA,3.024016539,-3.064928808,5.59009009009009
"175","Artamus cyanopterus","Dusky Woodswallow",6543,"Artamidae","Passeriformes","AVIBASE-0DA479A1",12,3,8,1,4,19.1,10.7,5.9,6.9,19.3,123.2,55.3,67.4,45,69.2,34.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Aerial",-43.64,-16.74,-29.53,139.51,3897118.38,22706330,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.35937925,-0.957945389,-0.146562197,0.393998206,3.5,3.027708037,-3.058563227,9.35585585585586
"176","Leuconotopicus borealis","Red-cockaded Woodpecker",3978,"Picidae","Piciformes","AVIBASE-0BFCAE79",5,2,3,0,4,18.2,14.1,6.8,6.1,21.1,117,37.2,78.8,32.1,85,48,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",25.85,37.47,32.35,-85.56,603894.41,22681158,2,0,1,1,0,0,0,1,1,1,0,0,1,0,2.49478593,-0.63059806,-0.172007396,NA,NA,3.03043827,-3.053855241,11.9819004524887
"177","Merulaxis ater","Slaty Bristlefront",4896,"Rhinocryptidae","Passeriformes","AVIBASE-0F9BA2F8",6,2,3,1,4,21.2,11.4,4.3,5.3,26.1,66.2,3.5,62.2,5.3,83.4,35,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",-27.33,-15.21,-21.4,-43.75,163731.48,22703474,2,0,1,0,1,1,1,0,0,0,0,0,0,0,1.18961434,-0.94645101,-0.380493868,NA,NA,3.040293202,-3.036861496,0.513513513513513
"178","Eremophila alpestris","Horned Lark",7331,"Alaudidae","Passeriformes","AVIBASE-FC0A1D95",14,6,8,0,4,13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Dunning",NA,"NO",NA,NA,0,3,3,"Omnivore","Omnivore","Terrestrial",4.06,77.73,53.86,4.61,35118904.89,22717434,1,0,1,1,0,0,0,0,0,0,1,0,0,0,6.55788143,-0.996241674,-0.20853357,0.415620453,3.52,3.042270207,-3.033452369,11.2207207207207
"179","Parus major","Great Tit",7227,"Paridae","Passeriformes","AVIBASE-1FA19549",37,17,20,0,16,11.3,8,4,4.3,17.4,70.9,13.3,57.7,18.7,61.2,16.3,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Insessorial",-10.61,71.19,44.04,75.02,32577984.28,22735990,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6.48277858,-1.710633963,-0.361204765,5.907671143,8.6,3.049707035,-3.020628378,28.0765765765766
"180","Falco severus","Oriental Hobby",4063,"Falconidae","Falconiformes","AVIBASE-B9538B77",5,2,3,0,4,23.7,13,9.3,11.3,28.5,217.4,128.8,90.8,58.6,97.4,200.6,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Vertivore","Aerial",-11.85,31.51,11.43,114.69,3641161.59,22696470,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4.2914446,0.799513805,0.24004067,0.664276291,3.75,3.050317466,-3.019575757,52.4189189189189
"181","Chloropsis aurifrons","Golden-fronted Leafbird",9399,"Chloropseidae","Passeriformes","AVIBASE-5FEE1D85",5,2,3,0,4,23.7,14.9,4,5,19.8,94.4,18.7,75,20,69.8,32.3,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",5.92,31.52,19.89,91.9,3471632.85,22734342,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.24376689,-1.026731841,-0.264759252,-1.011447837,2.2,3.057709004,-3.006829864,2.63063063063063
"182","Dicrurus waldenii","Mayotte Drongo",6754,"Dicruridae","Passeriformes","AVIBASE-EBB4F02C",5,3,2,0,3,33.5,21,10.4,11.7,25.9,143.9,35.7,108.2,24.8,192.2,50.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-13,-12.65,-12.81,45.14,316.35,22706957,3,1,1,1,0,0,0,1,0,0,1,0,1,0,-5.059519514,-0.579825735,-0.061608064,NA,NA,3.058180156,-3.006017414,3.02702702702703
"183","Pycnonotus capensis","Cape Bulbul",7897,"Pycnonotidae","Passeriformes","AVIBASE-6234824B",4,2,2,0,4,19.6,9.8,4,4.6,22,92.8,14.5,78.2,15.7,86.2,38.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Omnivore","Insessorial",-34.84,-28.72,-32.65,20.57,151666.39,22712677,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.11306988,-0.848546795,-0.271325755,NA,NA,3.069030297,-2.987307541,16.6441441441441
