"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"653","Dacnis viguieri","Viridian Dacnis",10796,"Thraupidae","Passeriformes","AVIBASE-B433F5E3",5,2,3,0,2,13.1,8.5,3.7,3.5,14,57.6,13,44.2,22.7,38.6,13,"Inferred",NA,"YES","Body Mass","Dacnis cayana",0,1,1,"Herbivore","Frugivore","Insessorial",6.83,8.66,7.73,-77.32,15481.17,22722994,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.168988984,-1.936849714,-0.415788822,NA,NA,2.511898594,-3.948019795,0
"654","Dacnis berlepschi","Scarlet-breasted Dacnis",10789,"Thraupidae","Passeriformes","AVIBASE-38EDD766",4,2,2,0,4,14,8.7,3.6,4.3,15.2,63,12,51,19.1,46.8,12.8,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-0.59,1.42,0.47,-78.88,11710.39,22722997,3,1,1,0,1,1,1,1,0,0,0,0,0,0,-1.448136949,-1.9523539,-0.393626874,NA,NA,2.51350285,-3.945253432,0
"655","Muscicapa randi","Ashy-breasted Flycatcher",9058,"Muscicapidae","Passeriformes","AVIBASE-71563862",1,1,0,0,1,13.3,7.4,4.2,3.6,12.5,65.5,14,51.5,21.4,52,20.1,"EltonTraits_Model",NA,"NO",NA,NA,0,1,2,"Carnivore","Invertivore","Insessorial",9.11,18.65,15.95,121.42,105159.84,22709211,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0.74686805,-1.501079256,-0.383366713,-0.362780432,2.8,2.5151237,-3.942458455,0
"656","Ficedula riedeli","Tanimbar Flycatcher",9279,"Muscicapidae","Passeriformes","AVIBASE-4BA2D4EE",1,0,1,0,1,15.6,8.4,4.1,3.8,19.5,66,12.2,53.8,18.5,60,9.4,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-7.88,-7.12,-7.58,131.47,761.62,103771748,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-4.180920966,-2.261089382,-0.381314681,-1.227670305,2,2.515240883,-3.942256386,0
"657","Vireo caribaeus","San Andres Vireo",6423,"Vireonidae","Passeriformes","AVIBASE-27936203",2,1,1,0,2,13.8,7.1,3.8,3.9,20,56.5,7.6,48.9,13.4,48.5,9.3,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Insessorial",12.49,12.56,12.53,-81.71,16.9,22705203,3,1,1,0,1,0,0,0,0,1,1,0,1,0,-7.989055088,-2.271784671,-0.420303293,NA,NA,2.515408128,-3.94196799,0
"658","Ceyx melanurus","North Philippine Dwarf-kingfisher",3413,"Alcedinidae","Coraciiformes","AVIBASE-544B26FE",5,2,3,0,5,34.2,28.1,7.8,7.9,10.1,57.4,12.3,45,21.5,19.6,22.8,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Omnivore","Insessorial",10,18.65,15.23,122,127390.35,61655451,3,1,1,0,0,1,0,1,0,0,0,0,1,0,0.93864256,-1.375038535,-0.416609635,NA,NA,2.516277338,-3.940469133,0
"659","Anthreptes rubritorques","Banded Sunbird",9492,"Nectariniidae","Passeriformes","AVIBASE-8C506F22",4,1,3,0,4,14.8,9,3.2,3.2,15.3,57.2,12.1,45.1,21,35.2,10.7,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",-8,-4.38,-6.21,37.56,7092.32,22717663,3,1,1,0,0,0,0,1,0,0,0,0,0,0,-1.949600923,-2.13155533,-0.417430448,-1.227670305,2,2.520187222,-3.933726969,0
"660","Origma solitaria","Rockwarbler",6197,"Acanthizidae","Passeriformes","AVIBASE-C2591EC1",9,2,4,3,4,15.3,7.8,2.7,3,22.2,65.9,8.5,56.8,13,55.4,14.3,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Invertivore","Generalist",-35.49,-31.68,-33.19,150.46,56963.22,22704516,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13379237,-1.841539534,-0.381725087,-0.146557964,3,2.524968032,-3.925482989,2.887387387
"661","Apalis lynesi","Namuli Apalis",7402,"Cisticolidae","Passeriformes","AVIBASE-A3869D21",4,2,2,0,4,14,8.2,2.7,2.8,20.5,51.5,5.2,46.2,10.2,53.2,11.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-15.5,-15.11,-15.32,37.12,1334.93,22713724,4,1,1,0,0,0,1,1,0,0,0,0,1,0,-3.619734575,-2.068185716,-0.440823615,-0.146557964,3,2.52554909,-3.924481018,0
"662","Cyornis lemprieri","Palawan Blue-flycatcher",9130,"Muscicapidae","Passeriformes","AVIBASE-37C2CC2E",7,3,4,0,6,15.7,10.3,5,4.3,18.2,73.7,13.9,59.4,19,62,21.5,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",7.8,12.33,9.86,118.64,10987.03,22709548,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.511897945,-1.433746136,-0.349713385,NA,NA,2.525769927,-3.924100209,0
"663","Rhipidura drownei","Bougainville Fantail",6734,"Rhipiduridae","Passeriformes","AVIBASE-042AEBF1",6,0,6,0,0,14.2,6.2,4.5,3.8,20.4,73.8,12.3,61.5,16.7,72.7,11.1,"Dunning",NA,"YES","Beak Nares","Rhipidura ocularis",0,1,1,"Carnivore","Invertivore","Insessorial",-6.59,-5.64,-6.06,155.21,1905.47,103710131,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.263884734,-2.094853963,-0.349302979,NA,NA,2.525891676,-3.923890266,0
"664","Carduelis carduelis","European Goldfinch",10214,"Fringillidae","Passeriformes","AVIBASE-59353A05",30,11,19,0,12,15.4,11.2,5.5,7.2,14.7,77.4,25.8,51.6,33.4,48.6,16,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Insessorial",23.49,63.96,50.13,35.73,11860717.87,103764950,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.47237377,-1.729210349,-0.334528347,1.907555483,4.9,2.528040959,-3.920184065,20.44594595
"665","Ampelornis griseiceps","Grey-headed Antbird",4785,"Thamnophilidae","Passeriformes","AVIBASE-F705E3F2",8,4,4,0,3,18,10.6,3.9,3.6,23.5,59.3,5.8,55.7,9.3,56.2,15,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-5.97,-3.57,-4.63,-79.75,17850.65,22701847,3,1,1,0,1,0,0,1,0,0,0,0,0,0,-1.026573509,-1.79374887,-0.408811912,NA,NA,2.528825535,-3.91883115,0
"666","Psittinus cyanurus","Blue-rumped Parrot",4470,"Psittacidae","Psittaciformes","AVIBASE-DD93ECEA",24,10,14,0,4,20.7,20.2,12.9,19.8,13.5,121.2,55.1,59.4,48.1,50,60.5,"Updated_literature","Dunning (2021)","NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",-5.95,10.94,1.09,108.22,1398599.34,22727599,2,0,1,0,0,0,0,1,0,1,0,0,0,0,3.33461311,-0.399155706,-0.154770326,-0.146557964,3,2.529997045,-3.91681101,0
"667","Cranioleuca muelleri","Scaled Spinetail",5223,"Furnariidae","Passeriformes","AVIBASE-DC25BB79",6,2,4,0,4,16.6,10.5,3.3,4.1,18.7,73.2,10,62.8,13.6,72.7,14.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-3.64,2.5,-1.39,-53.95,73902.84,22702461,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.39413783,-1.827650422,-0.351765417,NA,NA,2.531546244,-3.914139587,0
"668","Otus pembaensis","Pemba Scops-owl",2838,"Strigidae","Strigiformes","AVIBASE-1044DCBD",4,2,2,0,4,20.8,11.6,6,11.3,26.8,144.8,42.2,102.5,29.2,74.8,67,"Inferred",NA,"YES","Body Mass","Otus senegalensis",0,1,1,"Carnivore","Invertivore","Insessorial",-5.48,-4.86,-5.17,39.76,970.44,22688679,3,1,1,1,1,0,0,1,0,0,0,0,1,0,-3.938619133,-0.297106452,-0.057914406,1.745388632,4.75,2.532602626,-3.912317972,0
"669","Coccyzus americanus","Yellow-billed Cuckoo",1653,"Cuculidae","Cuculiformes","AVIBASE-0CF12F81",12,3,7,2,4,29.2,20,7,8.2,24.5,143.4,62.4,82.6,43,146.3,64,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",-14.02,48.99,36.04,-90.96,5270361.03,22684331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.66124071,-0.342915988,-0.063660096,0.123720121,3.25,2.532871766,-3.91185387,11.39189189
"670","Lagonosticta sanguinodorsalis","Rock Firefinch",9752,"Estrildidae","Passeriformes","AVIBASE-25D648E7",0,0,0,0,0,12.8,8.8,4.6,5.1,13.4,50.2,4.1,46.1,8.2,40,11.4,"Dunning",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Lagonosticta umbrinodorsalis",0,3,1,"Herbivore","Granivore","Terrestrial",9.05,11.2,10.09,11.83,28120.62,22728552,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.57211032,-2.068185716,-0.446158899,NA,NA,2.534357065,-3.909292635,0
"671","Deconychura longicauda","Northern Long-tailed Woodcreeper",4976,"Furnariidae","Passeriformes","AVIBASE-15B327AC",9,1,5,3,3,27.6,17.4,5.6,5.5,22.9,101.6,21.1,79.4,21,98.2,23.8,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-3.36,7.14,1.73,-56.73,1094105.42,103661261,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.08907891,-1.33211349,-0.235209988,-1.227670305,2,2.534393376,-3.909230021,0
"672","Asthenes huancavelicae","Huancavelica Canastero",5174,"Furnariidae","Passeriformes","AVIBASE-2AA4C9F4",8,1,6,1,4,14.2,9.4,3.1,3.8,22.5,66.6,7.3,58.2,11.5,70.8,22.2,"Updated_live.sample","Live sample (museum data)","NO",NA,NA,0,2,1,"Omnivore","Invertivore","Terrestrial",-13.63,-8.59,-12.47,-74.89,18080.9,103673286,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-1.013757299,-1.401706782,-0.378852242,-1.227670305,2,2.534393376,-3.909230021,0
"673","Megalurulus whitneyi","Santo Thicketbird",7653,"Locustellidae","Passeriformes","AVIBASE-582FE962",4,3,1,0,4,18.4,11.5,3.7,4.3,26.1,63.2,6.8,56.4,10.8,63.2,36,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",-15.48,-14.78,-15.2,166.72,542.62,103798480,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-4.519959451,-0.918280133,-0.392806061,-1.227670305,2,2.534393376,-3.909230021,0
"674","Cranioleuca dissita","Coiba Spinetail",5222,"Furnariidae","Passeriformes","AVIBASE-F341C440",5,2,3,0,4,14.4,9.2,3.2,3.9,16.8,61.6,8.6,53.1,13.9,61.8,15.7,"Inferred",NA,"YES","Body Mass","Cranioleuca vulpina",0,1,1,"Carnivore","Invertivore","Insessorial",7.31,7.64,7.47,-81.76,500.49,22702451,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-4.600781091,-1.748138359,-0.399372564,-0.795225368,2.4,2.534393376,-3.909230021,0
"675","Foudia eminentissima","Red-headed Fody",9661,"Ploceidae","Passeriformes","AVIBASE-3AA01547",5,2,3,0,4,18.2,12,5.8,8.4,21.1,80,13.9,65.4,17.5,50.8,24.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-13,-12.07,-12.47,44.56,1026.05,103811224,1,0,0,1,0,0,0,1,0,0,0,0,0,1,-3.882896953,-1.303125953,-0.323857779,-0.687114134,2.5,2.534393376,-3.909230021,0
"676","Herpsilochmus stotzi","Aripuana Antwren",4650,"Thamnophilidae","Passeriformes","AVIBASE-F1E7B851",7,3,4,0,4,16.5,9.6,4,3.8,17.1,49.7,4.6,45.4,9.1,44.4,10.8,"Updated_literature","Dunning (2021)","NO",NA,NA,NA,1,1,"Carnivore","Invertivore","Insessorial",-9.62,-5.13,-7.44,-61.49,85370.42,103657677,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.53838624,-2.122252937,-0.448210931,NA,NA,2.534393376,-3.909230021,0
"677","Hypocnemis rondoni","Manicore Antwarbler",4743,"Thamnophilidae","Passeriformes","AVIBASE-E911B7E9",6,2,4,0,1,16.4,9.2,4.4,4.1,19.6,52.1,6.3,47,11.8,37.7,12.5,"Updated_literature","Dunning (2021)","NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-9.68,-5.44,-7.64,-61.54,95654.42,103658788,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.65212847,-1.976070427,-0.438361176,NA,NA,2.534393376,-3.909230021,0
"678","Cranioleuca weskei","Vilcabamba Spinetail",5217,"Furnariidae","Passeriformes","AVIBASE-161CC4DB",0,0,0,0,0,18.1,9.8,3.1,4,22.4,67.6,6.8,61.2,10.1,75,19.8,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Cranioleuca marcapatae",0,1,1,"Carnivore","Invertivore","Insessorial",-13.62,-11.42,-12.82,-73.22,17296.37,103674478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.058116778,-1.516117133,-0.374748178,NA,NA,2.534393376,-3.909230021,0
"679","Gymnomyza brunneirostris","Giant Honeyeater",6002,"Meliphagidae","Passeriformes","AVIBASE-AF97F582",2,1,0,1,2,39.4,19,5.2,6.2,37.8,123,22.6,100.4,18.1,119.5,87.8,"EltonTraits_Model",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-18.27,-17.31,-17.83,177.97,10448.85,103685875,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.562121507,-0.02673757,-0.14738301,NA,NA,2.534393376,-3.909230021,0
"680","Robsonius thompsoni","Sierra Madre Ground-warbler",7662,"Locustellidae","Passeriformes","AVIBASE-A071F50B",2,1,1,0,1,22.2,13.2,4.2,5.3,32.6,86.5,5.2,83.8,5.8,69,61,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",15.36,18.38,16.72,121.78,17448.96,103799569,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.049333383,-0.390925207,-0.297181361,NA,NA,2.534393376,-3.909230021,0.554054054
"681","Stiphrornis xanthogaster","Yellow-breasted Forest-robin",9171,"Muscicapidae","Passeriformes","AVIBASE-8952E1A8",8,4,4,0,8,13.6,8.2,3.1,3.6,22,61.2,5.7,55.5,9.3,34.9,15.6,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Generalist",-4.05,4.75,0.74,22.8,1407884.15,103762997,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3.34122982,-1.754528157,-0.40101419,NA,NA,2.534393376,-3.909230021,0
"682","Heinrichia calligyna","Great Shortwing",9188,"Muscicapidae","Passeriformes","AVIBASE-FFC22757",2,0,2,0,2,18.6,9.8,4.2,4.5,34.4,86.2,13.2,73.1,15.4,76.7,26.8,"Inferred",NA,"YES","Body Mass","Myiomela leucura",0,1,1,"Carnivore","Invertivore","Terrestrial",-3.86,-0.97,-2.24,120.2,12550.68,103866279,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.378838584,-1.213397183,-0.29841258,NA,NA,2.534393376,-3.909230021,0
"683","Lamprolia victoriae","Taveuni Silktail",6683,"Lamproliidae","Passeriformes","AVIBASE-41898F4D",11,2,9,0,4,17.3,9.6,3.9,3.8,22.8,81.5,12.3,69.6,15,45.5,14.7,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Generalist",-17.01,-16.69,-16.85,-67.67,442.23,103707785,2,0,1,1,0,0,0,1,0,0,0,0,1,0,-4.724538601,-1.813951577,-0.317701683,-2.308782645,1,2.534393376,-3.909230021,0
"684","Arremon basilicus","Sierra Nevada Brush-finch",10340,"Passerellidae","Passeriformes","AVIBASE-61060774",0,0,0,0,0,18.9,10.7,6.1,7.2,32.2,80.5,7.8,72.8,9.8,85.7,42,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Arremon torquatus",0,1,1,"Omnivore","Omnivore","Generalist",10.26,11.19,10.73,-73.58,8179.69,22724893,2,0,1,0,0,0,0,1,0,0,1,0,0,0,-1.806959178,-0.764129453,-0.321805747,-1.227670305,2,2.534393376,-3.909230021,0
"685","Cinclodes antarcticus","Blackish Cinclodes",5076,"Furnariidae","Passeriformes","AVIBASE-2C13E973",8,3,4,1,4,23.4,13.1,3.6,4.6,26.1,108.5,29.9,78.1,27.7,80,63.2,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Invertivore","Terrestrial",-52.9,-51.01,-51.74,-59.41,12926.55,103670928,2,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.349330095,-0.35549477,-0.206891944,-0.795225368,2.4,2.534393376,-3.909230021,0
"686","Graminicola striatus","Chinese Grass-babbler",8378,"Pellorneidae","Passeriformes","AVIBASE-0254B25D",0,0,0,0,0,14.9,8.2,3,4,23.6,56.2,4.3,52,7.7,73.8,14.6,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Graminicola bengalensis",0,3,1,"Carnivore","Invertivore","Insessorial",12.47,29.36,26.46,107.99,58291.53,103870381,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.15684337,-1.820777542,-0.421534512,0.934554376,4,2.534393376,-3.909230021,0
"687","Hydrornis irena","Malay Banded Pitta",4529,"Pittidae","Passeriformes","AVIBASE-6B071C03",4,2,2,0,4,25,15,5.7,7.6,37.8,97,16.5,80.5,17,56,81.5,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",-5.95,10.59,1.29,101.39,576808.74,22736523,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.44889731,-0.101196051,-0.254088684,NA,NA,2.534393376,-3.909230021,0
"688","Drymophila hellmayri","Santa Marta Antbird",4734,"Thamnophilidae","Passeriformes","AVIBASE-7694CC98",4,2,2,0,0,17.4,8.8,4.5,4,20.4,51.3,5,43.5,9.2,77.5,11.9,"DataFromSplit",NA,"YES","Beak Culmen; Kipp's Distance; Hand-Wing Index","Drymophila caudata",0,1,1,"Carnivore","Invertivore","Insessorial",10.73,11.15,10.94,-73.77,3040.78,103658673,2,0,1,0,0,0,0,1,0,1,0,0,1,0,-2.79649937,-2.025260671,-0.441644428,NA,NA,2.534393376,-3.909230021,0
"689","Drymophila caudata","East Andean Antbird",4735,"Thamnophilidae","Passeriformes","AVIBASE-4B4906E5",6,3,3,0,0,17.4,9.1,4.2,3.7,19.1,53.6,5,48.5,9.2,71,11.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",1.9,6.97,4.56,-73.98,18604.27,103658659,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.985222307,-2.025260671,-0.43220508,NA,NA,2.534393376,-3.909230021,0
"690","Sipia palliata","Magdalena Antbird",4788,"Thamnophilidae","Passeriformes","AVIBASE-E492E478",8,2,6,0,4,20.4,11.6,4.6,4.7,26.7,66.7,7,59.8,10.3,45.7,25,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Generalist",5.24,9.87,7.47,-74,88370.3,22724868,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0.57292251,-1.282923246,-0.378441836,NA,NA,2.534393376,-3.909230021,0
"691","Scytalopus gettyae","Junin Tapaculo",4901,"Rhinocryptidae","Passeriformes","AVIBASE-873E5B64",0,0,0,0,0,17.7,8.7,3.9,4.4,29.9,71.3,5.6,66.2,7.8,52,20.4,"Updated_literature","BoW","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Scytalopus macropus",NA,1,1,"Carnivore","Invertivore","Terrestrial",-11.68,-11.4,-11.54,-74.79,127.48,103660951,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.96840922,-1.48626417,-0.35956314,NA,NA,2.534393376,-3.909230021,0
"692","Scytalopus perijanus","Perija Tapaculo",4927,"Rhinocryptidae","Passeriformes","AVIBASE-C98B9363",0,0,0,0,0,14.8,8.5,3.4,4.1,23.4,58.2,5.7,53.1,9.6,40.7,18.5,"Updated_literature","BoW","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Scytalopus latebricola",NA,1,1,"Carnivore","Invertivore","Generalist",9.91,10.85,10.34,-72.87,1087.36,103661232,2,0,1,0,1,1,1,0,0,0,0,0,0,0,-3.824860691,-1.584028339,-0.413326383,NA,NA,2.534393376,-3.909230021,0
"693","Deconychura pallida","Southern Long-tailed Woodcreeper",4977,"Furnariidae","Passeriformes","AVIBASE-3B21E1E3",6,3,3,0,2,29.2,18.4,5.8,6.1,24.3,104.3,20.5,83.8,19.6,105.5,23.8,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-17.39,3.9,-5.92,-63.45,3936305.95,103661265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4.36938456,-1.33211349,-0.224129014,NA,NA,2.534393376,-3.909230021,0
"694","Cinclodes maculirostris","Black Cinclodes",5075,"Furnariidae","Passeriformes","AVIBASE-716443F8",2,0,2,0,0,23.4,12,4,5.1,28.3,114.4,28.9,85.6,25.2,80,63.2,"DataFromSplit",NA,"YES","Beak Culmen; Tail Length","Cinclodes antarcticus",0,3,2,"Carnivore","Invertivore","Terrestrial",-55.98,-54.63,-55.11,-68.61,11030.13,103670944,2,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.507982812,-0.35549477,-0.182677964,NA,NA,2.534393376,-3.909230021,0
"695","Asthenes usheri","White-tailed Canastero",5173,"Furnariidae","Passeriformes","AVIBASE-8B7B4EB0",1,1,0,0,0,14.2,11.9,3.7,4.6,23.1,62.5,6.8,55.7,10.9,73.3,15.9,"DataFromSplit",NA,"YES","Beak Culmen; Tail Length","Asthenes dorbignyi",0,2,1,"Omnivore","Invertivore","Terrestrial",-14.78,-13.31,-14.13,-73.42,9259.42,22724718,2,0,1,0,0,1,0,1,0,1,0,0,0,0,-1.682972019,-1.735479962,-0.395678906,NA,NA,2.534393376,-3.909230021,0
"696","Synallaxis beverlyae","Orinoco Spinetail",5282,"Furnariidae","Passeriformes","AVIBASE-4435DE4C",0,0,0,0,0,13.3,8.6,2.9,3.7,19.1,55.3,8,47.3,14.3,68.2,12.8,"Updated_literature","BoW","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Synallaxis albigularis",NA,2,1,"Carnivore","Invertivore","Insessorial",5.5,8.7,8.42,-61.5,57.6,22736309,2,0,1,0,0,0,0,0,1,1,0,0,0,0,-6.762846142,-1.9523539,-0.42522817,NA,NA,2.534393376,-3.909230021,0
"697","Laniisoma buckleyi","Andean Mourner",5454,"Tityridae","Passeriformes","AVIBASE-73808E99",5,3,2,0,4,19.6,12,6,5.6,21.5,99.8,22,77.8,22,59.6,47.1,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-16.1,7.63,-6.44,-72.79,35911.33,22728535,2,0,1,0,1,1,1,1,0,0,0,0,0,0,-0.32756059,-0.64952607,-0.242597304,NA,NA,2.534393376,-3.909230021,0
"698","Laniisoma elegans","Elegant Mourner",5455,"Tityridae","Passeriformes","AVIBASE-A13F03C6",4,2,2,0,4,20.3,13.2,5.4,6.1,22.5,103.5,26.9,76.6,26,61,47.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-25.89,-18.48,-22.35,-44.62,172527.96,22700705,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1.24194588,-0.643176842,-0.227412266,NA,NA,2.534393376,-3.909230021,0
"699","Hemitriccus cohnhafti","Acre Tody-tyrant",5537,"Tyrannidae","Passeriformes","AVIBASE-287B92E9",2,0,2,0,2,14.2,7.9,4,3.2,15.3,51,7.4,43.5,14.6,40.5,9,"Updated_literature","Dunning (2021)","NO",NA,NA,NA,1,1,"Carnivore","Invertivore","Insessorial",-11.54,-9.86,-10.65,-69.03,9833.48,103680575,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.622820541,-2.304574494,-0.442875647,NA,NA,2.534393376,-3.909230021,0
"700","Zimmerius chicomendesi","Chico's Tyrannulet",5587,"Tyrannidae","Passeriformes","AVIBASE-29A192BA",1,1,0,0,1,7.4,4.2,2.6,2.3,12.5,41,4.1,36.9,10,35,5.5,"Updated_literature","BoW","NO",NA,NA,NA,1,1,"Omnivore","Frugivore","Insessorial",-8.93,-7.64,-8.24,-61.63,19869.14,103680766,2,0,1,0,0,1,1,1,0,0,0,0,0,0,-0.919445657,-2.797050979,-0.483916291,NA,NA,2.534393376,-3.909230021,0
"701","Myzomela longirostris","Long-billed Myzomela",6068,"Meliphagidae","Passeriformes","AVIBASE-5F44043D",0,0,0,0,0,18.8,10.8,2.6,2.6,14.8,61.9,11.2,46.9,19.3,39.8,10.3,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Myzomela rosenbergii",0,1,1,"Herbivore","Nectarivore","Insessorial",-9.53,-9.2,-9.35,150.24,707.01,103687306,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-4.2553239,-2.169655176,-0.398141345,NA,NA,2.534393376,-3.909230021,0
"702","Urocissa xanthomelana","White-winged Magpie",6934,"Corvidae","Passeriformes","AVIBASE-99F2C234",4,0,4,0,4,45.7,28,11.9,16.4,50.5,212,28.6,183.4,13.4,218.5,200,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",13.83,27.82,20.53,104.86,339507.89,103719397,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1.91888376,0.796518296,0.217878722,NA,NA,2.534393376,-3.909230021,0
