"","location","hits","keyword","geo","gprop"
"3721","Tokelau",NA,"Crypturellus atrocapillus","world","web"
"3722","Turkmenistan",NA,"Crypturellus atrocapillus","world","web"
"3723","Timor-Leste",NA,"Crypturellus atrocapillus","world","web"
"3724","Tonga",NA,"Crypturellus atrocapillus","world","web"
"3725","Trinidad & Tobago",NA,"Crypturellus atrocapillus","world","web"
"3726","Tunisia",NA,"Crypturellus atrocapillus","world","web"
"3727","Turkey",NA,"Crypturellus atrocapillus","world","web"
"3728","Tuvalu",NA,"Crypturellus atrocapillus","world","web"
"3729","Taiwan",NA,"Crypturellus atrocapillus","world","web"
"3730","Tanzania",NA,"Crypturellus atrocapillus","world","web"
"3731","Uganda",NA,"Crypturellus atrocapillus","world","web"
"3732","Ukraine",NA,"Crypturellus atrocapillus","world","web"
"3733","U.S. Outlying Islands",NA,"Crypturellus atrocapillus","world","web"
"3734","Uruguay",NA,"Crypturellus atrocapillus","world","web"
"3735","United States",NA,"Crypturellus atrocapillus","world","web"
"3736","Uzbekistan",NA,"Crypturellus atrocapillus","world","web"
"3737","Vatican City",NA,"Crypturellus atrocapillus","world","web"
"3738","St. Vincent & Grenadines",NA,"Crypturellus atrocapillus","world","web"
"3739","Venezuela",NA,"Crypturellus atrocapillus","world","web"
"3740","British Virgin Islands",NA,"Crypturellus atrocapillus","world","web"
"3741","U.S. Virgin Islands",NA,"Crypturellus atrocapillus","world","web"
"3742","Vietnam",NA,"Crypturellus atrocapillus","world","web"
"3743","Vanuatu",NA,"Crypturellus atrocapillus","world","web"
"3744","Wallis & Futuna",NA,"Crypturellus atrocapillus","world","web"
"3745","Samoa",NA,"Crypturellus atrocapillus","world","web"
"3746","Kosovo",NA,"Crypturellus atrocapillus","world","web"
"3747","Yemen",NA,"Crypturellus atrocapillus","world","web"
"3748","South Africa",NA,"Crypturellus atrocapillus","world","web"
"3749","Zambia",NA,"Crypturellus atrocapillus","world","web"
"3750","Zimbabwe",NA,"Crypturellus atrocapillus","world","web"
"3751","Aruba",NA,"Crypturellus transfasciatus","world","web"
"3752","Afghanistan",NA,"Crypturellus transfasciatus","world","web"
"3753","Angola",NA,"Crypturellus transfasciatus","world","web"
"3754","Anguilla",NA,"Crypturellus transfasciatus","world","web"
"3755","Åland Islands",NA,"Crypturellus transfasciatus","world","web"
"3756","Albania",NA,"Crypturellus transfasciatus","world","web"
"3757","Andorra",NA,"Crypturellus transfasciatus","world","web"
"3758","United Arab Emirates",NA,"Crypturellus transfasciatus","world","web"
"3759","Argentina",NA,"Crypturellus transfasciatus","world","web"
"3760","Armenia",NA,"Crypturellus transfasciatus","world","web"
"3761","American Samoa",NA,"Crypturellus transfasciatus","world","web"
"3762","Antarctica",NA,"Crypturellus transfasciatus","world","web"
"3763","French Southern Territories",NA,"Crypturellus transfasciatus","world","web"
"3764","Antigua & Barbuda",NA,"Crypturellus transfasciatus","world","web"
"3765","Australia",NA,"Crypturellus transfasciatus","world","web"
"3766","Austria",NA,"Crypturellus transfasciatus","world","web"
"3767","Azerbaijan",NA,"Crypturellus transfasciatus","world","web"
"3768","Burundi",NA,"Crypturellus transfasciatus","world","web"
"3769","Belgium",NA,"Crypturellus transfasciatus","world","web"
"3770","Benin",NA,"Crypturellus transfasciatus","world","web"
"3771","Caribbean Netherlands",NA,"Crypturellus transfasciatus","world","web"
"3772","Burkina Faso",NA,"Crypturellus transfasciatus","world","web"
"3773","Bangladesh",NA,"Crypturellus transfasciatus","world","web"
"3774","Bulgaria",NA,"Crypturellus transfasciatus","world","web"
"3775","Bahrain",NA,"Crypturellus transfasciatus","world","web"
"3776","Bahamas",NA,"Crypturellus transfasciatus","world","web"
"3777","Bosnia & Herzegovina",NA,"Crypturellus transfasciatus","world","web"
"3778","St. Barthélemy",NA,"Crypturellus transfasciatus","world","web"
"3779","Belarus",NA,"Crypturellus transfasciatus","world","web"
"3780","Belize",NA,"Crypturellus transfasciatus","world","web"
"3781","Bermuda",NA,"Crypturellus transfasciatus","world","web"
"3782","Bolivia",NA,"Crypturellus transfasciatus","world","web"
"3783","Brazil",NA,"Crypturellus transfasciatus","world","web"
"3784","Barbados",NA,"Crypturellus transfasciatus","world","web"
"3785","Brunei",NA,"Crypturellus transfasciatus","world","web"
"3786","Bhutan",NA,"Crypturellus transfasciatus","world","web"
"3787","Bouvet Island",NA,"Crypturellus transfasciatus","world","web"
"3788","Botswana",NA,"Crypturellus transfasciatus","world","web"
"3789","Central African Republic",NA,"Crypturellus transfasciatus","world","web"
"3790","Canada",NA,"Crypturellus transfasciatus","world","web"
"3791","Cocos (Keeling) Islands",NA,"Crypturellus transfasciatus","world","web"
"3792","Switzerland",NA,"Crypturellus transfasciatus","world","web"
"3793","Chile",NA,"Crypturellus transfasciatus","world","web"
"3794","China",NA,"Crypturellus transfasciatus","world","web"
"3795","Côte d’Ivoire",NA,"Crypturellus transfasciatus","world","web"
"3796","Cameroon",NA,"Crypturellus transfasciatus","world","web"
"3797","Congo - Kinshasa",NA,"Crypturellus transfasciatus","world","web"
"3798","Congo - Brazzaville",NA,"Crypturellus transfasciatus","world","web"
"3799","Cook Islands",NA,"Crypturellus transfasciatus","world","web"
"3800","Colombia",NA,"Crypturellus transfasciatus","world","web"
"3801","Comoros",NA,"Crypturellus transfasciatus","world","web"
"3802","Cape Verde",NA,"Crypturellus transfasciatus","world","web"
"3803","Costa Rica",NA,"Crypturellus transfasciatus","world","web"
"3804","Cuba",NA,"Crypturellus transfasciatus","world","web"
"3805","Curaçao",NA,"Crypturellus transfasciatus","world","web"
"3806","Christmas Island",NA,"Crypturellus transfasciatus","world","web"
"3807","Cayman Islands",NA,"Crypturellus transfasciatus","world","web"
"3808","Cyprus",NA,"Crypturellus transfasciatus","world","web"
"3809","Czechia",NA,"Crypturellus transfasciatus","world","web"
"3810","Germany",NA,"Crypturellus transfasciatus","world","web"
"3811","Djibouti",NA,"Crypturellus transfasciatus","world","web"
"3812","Dominica",NA,"Crypturellus transfasciatus","world","web"
"3813","Denmark",NA,"Crypturellus transfasciatus","world","web"
"3814","Dominican Republic",NA,"Crypturellus transfasciatus","world","web"
"3815","Algeria",NA,"Crypturellus transfasciatus","world","web"
"3816","Ecuador",NA,"Crypturellus transfasciatus","world","web"
"3817","Egypt",NA,"Crypturellus transfasciatus","world","web"
"3818","Eritrea",NA,"Crypturellus transfasciatus","world","web"
"3819","Western Sahara",NA,"Crypturellus transfasciatus","world","web"
"3820","Spain",NA,"Crypturellus transfasciatus","world","web"
"3821","Estonia",NA,"Crypturellus transfasciatus","world","web"
"3822","Ethiopia",NA,"Crypturellus transfasciatus","world","web"
"3823","Finland",NA,"Crypturellus transfasciatus","world","web"
"3824","Fiji",NA,"Crypturellus transfasciatus","world","web"
"3825","Falkland Islands (Islas Malvinas)",NA,"Crypturellus transfasciatus","world","web"
"3826","France",NA,"Crypturellus transfasciatus","world","web"
"3827","Faroe Islands",NA,"Crypturellus transfasciatus","world","web"
"3828","Micronesia",NA,"Crypturellus transfasciatus","world","web"
"3829","Gabon",NA,"Crypturellus transfasciatus","world","web"
"3830","United Kingdom",NA,"Crypturellus transfasciatus","world","web"
"3831","Georgia",NA,"Crypturellus transfasciatus","world","web"
"3832","Guernsey",NA,"Crypturellus transfasciatus","world","web"
"3833","Ghana",NA,"Crypturellus transfasciatus","world","web"
"3834","Gibraltar",NA,"Crypturellus transfasciatus","world","web"
"3835","Guinea",NA,"Crypturellus transfasciatus","world","web"
"3836","Guadeloupe",NA,"Crypturellus transfasciatus","world","web"
"3837","Gambia",NA,"Crypturellus transfasciatus","world","web"
"3838","Guinea-Bissau",NA,"Crypturellus transfasciatus","world","web"
"3839","Equatorial Guinea",NA,"Crypturellus transfasciatus","world","web"
"3840","Greece",NA,"Crypturellus transfasciatus","world","web"
"3841","Grenada",NA,"Crypturellus transfasciatus","world","web"
"3842","Greenland",NA,"Crypturellus transfasciatus","world","web"
"3843","Guatemala",NA,"Crypturellus transfasciatus","world","web"
"3844","French Guiana",NA,"Crypturellus transfasciatus","world","web"
"3845","Guam",NA,"Crypturellus transfasciatus","world","web"
"3846","Guyana",NA,"Crypturellus transfasciatus","world","web"
"3847","Hong Kong",NA,"Crypturellus transfasciatus","world","web"
"3848","Heard & McDonald Islands",NA,"Crypturellus transfasciatus","world","web"
"3849","Honduras",NA,"Crypturellus transfasciatus","world","web"
"3850","Croatia",NA,"Crypturellus transfasciatus","world","web"
"3851","Haiti",NA,"Crypturellus transfasciatus","world","web"
"3852","Hungary",NA,"Crypturellus transfasciatus","world","web"
"3853","Indonesia",NA,"Crypturellus transfasciatus","world","web"
"3854","Isle of Man",NA,"Crypturellus transfasciatus","world","web"
"3855","India",NA,"Crypturellus transfasciatus","world","web"
"3856","British Indian Ocean Territory",NA,"Crypturellus transfasciatus","world","web"
"3857","Ireland",NA,"Crypturellus transfasciatus","world","web"
"3858","Iran",NA,"Crypturellus transfasciatus","world","web"
"3859","Iraq",NA,"Crypturellus transfasciatus","world","web"
"3860","Iceland",NA,"Crypturellus transfasciatus","world","web"
"3861","Israel",NA,"Crypturellus transfasciatus","world","web"
"3862","Italy",NA,"Crypturellus transfasciatus","world","web"
"3863","Jamaica",NA,"Crypturellus transfasciatus","world","web"
"3864","Jersey",NA,"Crypturellus transfasciatus","world","web"
"3865","Jordan",NA,"Crypturellus transfasciatus","world","web"
"3866","Japan",NA,"Crypturellus transfasciatus","world","web"
"3867","Kazakhstan",NA,"Crypturellus transfasciatus","world","web"
"3868","Kenya",NA,"Crypturellus transfasciatus","world","web"
"3869","Kyrgyzstan",NA,"Crypturellus transfasciatus","world","web"
"3870","Cambodia",NA,"Crypturellus transfasciatus","world","web"
"3871","Kiribati",NA,"Crypturellus transfasciatus","world","web"
"3872","St. Kitts & Nevis",NA,"Crypturellus transfasciatus","world","web"
"3873","South Korea",NA,"Crypturellus transfasciatus","world","web"
"3874","Kuwait",NA,"Crypturellus transfasciatus","world","web"
"3875","Laos",NA,"Crypturellus transfasciatus","world","web"
"3876","Lebanon",NA,"Crypturellus transfasciatus","world","web"
"3877","Liberia",NA,"Crypturellus transfasciatus","world","web"
"3878","Libya",NA,"Crypturellus transfasciatus","world","web"
"3879","St. Lucia",NA,"Crypturellus transfasciatus","world","web"
"3880","Liechtenstein",NA,"Crypturellus transfasciatus","world","web"
"3881","Sri Lanka",NA,"Crypturellus transfasciatus","world","web"
"3882","Lesotho",NA,"Crypturellus transfasciatus","world","web"
"3883","Lithuania",NA,"Crypturellus transfasciatus","world","web"
"3884","Luxembourg",NA,"Crypturellus transfasciatus","world","web"
"3885","Latvia",NA,"Crypturellus transfasciatus","world","web"
"3886","Macao",NA,"Crypturellus transfasciatus","world","web"
"3887","St. Martin",NA,"Crypturellus transfasciatus","world","web"
"3888","Morocco",NA,"Crypturellus transfasciatus","world","web"
"3889","Monaco",NA,"Crypturellus transfasciatus","world","web"
"3890","Moldova",NA,"Crypturellus transfasciatus","world","web"
"3891","Madagascar",NA,"Crypturellus transfasciatus","world","web"
"3892","Maldives",NA,"Crypturellus transfasciatus","world","web"
"3893","Mexico",NA,"Crypturellus transfasciatus","world","web"
"3894","Marshall Islands",NA,"Crypturellus transfasciatus","world","web"
"3895","North Macedonia",NA,"Crypturellus transfasciatus","world","web"
"3896","Mali",NA,"Crypturellus transfasciatus","world","web"
"3897","Malta",NA,"Crypturellus transfasciatus","world","web"
"3898","Myanmar (Burma)",NA,"Crypturellus transfasciatus","world","web"
"3899","Montenegro",NA,"Crypturellus transfasciatus","world","web"
"3900","Mongolia",NA,"Crypturellus transfasciatus","world","web"
"3901","Northern Mariana Islands",NA,"Crypturellus transfasciatus","world","web"
"3902","Mozambique",NA,"Crypturellus transfasciatus","world","web"
"3903","Mauritania",NA,"Crypturellus transfasciatus","world","web"
"3904","Montserrat",NA,"Crypturellus transfasciatus","world","web"
"3905","Martinique",NA,"Crypturellus transfasciatus","world","web"
"3906","Mauritius",NA,"Crypturellus transfasciatus","world","web"
"3907","Malawi",NA,"Crypturellus transfasciatus","world","web"
"3908","Malaysia",NA,"Crypturellus transfasciatus","world","web"
"3909","Mayotte",NA,"Crypturellus transfasciatus","world","web"
"3910","Namibia",NA,"Crypturellus transfasciatus","world","web"
"3911","New Caledonia",NA,"Crypturellus transfasciatus","world","web"
"3912","Niger",NA,"Crypturellus transfasciatus","world","web"
"3913","Norfolk Island",NA,"Crypturellus transfasciatus","world","web"
"3914","Nigeria",NA,"Crypturellus transfasciatus","world","web"
"3915","Nicaragua",NA,"Crypturellus transfasciatus","world","web"
"3916","Niue",NA,"Crypturellus transfasciatus","world","web"
"3917","Netherlands",NA,"Crypturellus transfasciatus","world","web"
"3918","Norway",NA,"Crypturellus transfasciatus","world","web"
"3919","Nepal",NA,"Crypturellus transfasciatus","world","web"
"3920","Nauru",NA,"Crypturellus transfasciatus","world","web"
"3921","New Zealand",NA,"Crypturellus transfasciatus","world","web"
"3922","Oman",NA,"Crypturellus transfasciatus","world","web"
"3923","Pakistan",NA,"Crypturellus transfasciatus","world","web"
"3924","Panama",NA,"Crypturellus transfasciatus","world","web"
"3925","Pitcairn Islands",NA,"Crypturellus transfasciatus","world","web"
"3926","Peru",NA,"Crypturellus transfasciatus","world","web"
"3927","Philippines",NA,"Crypturellus transfasciatus","world","web"
"3928","Palau",NA,"Crypturellus transfasciatus","world","web"
"3929","Papua New Guinea",NA,"Crypturellus transfasciatus","world","web"
"3930","Poland",NA,"Crypturellus transfasciatus","world","web"
"3931","Puerto Rico",NA,"Crypturellus transfasciatus","world","web"
"3932","North Korea",NA,"Crypturellus transfasciatus","world","web"
"3933","Portugal",NA,"Crypturellus transfasciatus","world","web"
"3934","Paraguay",NA,"Crypturellus transfasciatus","world","web"
"3935","Palestine",NA,"Crypturellus transfasciatus","world","web"
"3936","French Polynesia",NA,"Crypturellus transfasciatus","world","web"
"3937","Qatar",NA,"Crypturellus transfasciatus","world","web"
"3938","Réunion",NA,"Crypturellus transfasciatus","world","web"
"3939","Romania",NA,"Crypturellus transfasciatus","world","web"
"3940","Russia",NA,"Crypturellus transfasciatus","world","web"
"3941","Rwanda",NA,"Crypturellus transfasciatus","world","web"
"3942","Saudi Arabia",NA,"Crypturellus transfasciatus","world","web"
"3943","Sudan",NA,"Crypturellus transfasciatus","world","web"
"3944","Senegal",NA,"Crypturellus transfasciatus","world","web"
"3945","Singapore",NA,"Crypturellus transfasciatus","world","web"
"3946","South Georgia & South Sandwich Islands",NA,"Crypturellus transfasciatus","world","web"
"3947","St. Helena",NA,"Crypturellus transfasciatus","world","web"
"3948","Svalbard & Jan Mayen",NA,"Crypturellus transfasciatus","world","web"
"3949","Solomon Islands",NA,"Crypturellus transfasciatus","world","web"
"3950","Sierra Leone",NA,"Crypturellus transfasciatus","world","web"
"3951","El Salvador",NA,"Crypturellus transfasciatus","world","web"
"3952","San Marino",NA,"Crypturellus transfasciatus","world","web"
"3953","Somalia",NA,"Crypturellus transfasciatus","world","web"
"3954","St. Pierre & Miquelon",NA,"Crypturellus transfasciatus","world","web"
"3955","Serbia",NA,"Crypturellus transfasciatus","world","web"
"3956","South Sudan",NA,"Crypturellus transfasciatus","world","web"
"3957","São Tomé & Príncipe",NA,"Crypturellus transfasciatus","world","web"
"3958","Suriname",NA,"Crypturellus transfasciatus","world","web"
"3959","Slovakia",NA,"Crypturellus transfasciatus","world","web"
"3960","Slovenia",NA,"Crypturellus transfasciatus","world","web"
"3961","Sweden",NA,"Crypturellus transfasciatus","world","web"
"3962","Eswatini",NA,"Crypturellus transfasciatus","world","web"
"3963","Sint Maarten",NA,"Crypturellus transfasciatus","world","web"
"3964","Seychelles",NA,"Crypturellus transfasciatus","world","web"
"3965","Syria",NA,"Crypturellus transfasciatus","world","web"
"3966","Turks & Caicos Islands",NA,"Crypturellus transfasciatus","world","web"
"3967","Chad",NA,"Crypturellus transfasciatus","world","web"
"3968","Togo",NA,"Crypturellus transfasciatus","world","web"
"3969","Thailand",NA,"Crypturellus transfasciatus","world","web"
"3970","Tajikistan",NA,"Crypturellus transfasciatus","world","web"
"3971","Tokelau",NA,"Crypturellus transfasciatus","world","web"
"3972","Turkmenistan",NA,"Crypturellus transfasciatus","world","web"
"3973","Timor-Leste",NA,"Crypturellus transfasciatus","world","web"
"3974","Tonga",NA,"Crypturellus transfasciatus","world","web"
"3975","Trinidad & Tobago",NA,"Crypturellus transfasciatus","world","web"
"3976","Tunisia",NA,"Crypturellus transfasciatus","world","web"
"3977","Turkey",NA,"Crypturellus transfasciatus","world","web"
"3978","Tuvalu",NA,"Crypturellus transfasciatus","world","web"
"3979","Taiwan",NA,"Crypturellus transfasciatus","world","web"
"3980","Tanzania",NA,"Crypturellus transfasciatus","world","web"
"3981","Uganda",NA,"Crypturellus transfasciatus","world","web"
"3982","Ukraine",NA,"Crypturellus transfasciatus","world","web"
"3983","U.S. Outlying Islands",NA,"Crypturellus transfasciatus","world","web"
"3984","Uruguay",NA,"Crypturellus transfasciatus","world","web"
"3985","United States",NA,"Crypturellus transfasciatus","world","web"
"3986","Uzbekistan",NA,"Crypturellus transfasciatus","world","web"
"3987","Vatican City",NA,"Crypturellus transfasciatus","world","web"
"3988","St. Vincent & Grenadines",NA,"Crypturellus transfasciatus","world","web"
"3989","Venezuela",NA,"Crypturellus transfasciatus","world","web"
"3990","British Virgin Islands",NA,"Crypturellus transfasciatus","world","web"
"3991","U.S. Virgin Islands",NA,"Crypturellus transfasciatus","world","web"
"3992","Vietnam",NA,"Crypturellus transfasciatus","world","web"
"3993","Vanuatu",NA,"Crypturellus transfasciatus","world","web"
"3994","Wallis & Futuna",NA,"Crypturellus transfasciatus","world","web"
"3995","Samoa",NA,"Crypturellus transfasciatus","world","web"
"3996","Kosovo",NA,"Crypturellus transfasciatus","world","web"
"3997","Yemen",NA,"Crypturellus transfasciatus","world","web"
"3998","South Africa",NA,"Crypturellus transfasciatus","world","web"
"3999","Zambia",NA,"Crypturellus transfasciatus","world","web"
"4000","Zimbabwe",NA,"Crypturellus transfasciatus","world","web"
"4001","Aruba",NA,"Crypturellus kerriae","world","web"
"4002","Afghanistan",NA,"Crypturellus kerriae","world","web"
"4003","Angola",NA,"Crypturellus kerriae","world","web"
"4004","Anguilla",NA,"Crypturellus kerriae","world","web"
"4005","Åland Islands",NA,"Crypturellus kerriae","world","web"
"4006","Albania",NA,"Crypturellus kerriae","world","web"
"4007","Andorra",NA,"Crypturellus kerriae","world","web"
"4008","United Arab Emirates",NA,"Crypturellus kerriae","world","web"
"4009","Argentina",NA,"Crypturellus kerriae","world","web"
"4010","Armenia",NA,"Crypturellus kerriae","world","web"
"4011","American Samoa",NA,"Crypturellus kerriae","world","web"
"4012","Antarctica",NA,"Crypturellus kerriae","world","web"
"4013","French Southern Territories",NA,"Crypturellus kerriae","world","web"
"4014","Antigua & Barbuda",NA,"Crypturellus kerriae","world","web"
"4015","Australia",NA,"Crypturellus kerriae","world","web"
"4016","Austria",NA,"Crypturellus kerriae","world","web"
"4017","Azerbaijan",NA,"Crypturellus kerriae","world","web"
"4018","Burundi",NA,"Crypturellus kerriae","world","web"
"4019","Belgium",NA,"Crypturellus kerriae","world","web"
"4020","Benin",NA,"Crypturellus kerriae","world","web"
"4021","Caribbean Netherlands",NA,"Crypturellus kerriae","world","web"
"4022","Burkina Faso",NA,"Crypturellus kerriae","world","web"
"4023","Bangladesh",NA,"Crypturellus kerriae","world","web"
"4024","Bulgaria",NA,"Crypturellus kerriae","world","web"
"4025","Bahrain",NA,"Crypturellus kerriae","world","web"
"4026","Bahamas",NA,"Crypturellus kerriae","world","web"
"4027","Bosnia & Herzegovina",NA,"Crypturellus kerriae","world","web"
"4028","St. Barthélemy",NA,"Crypturellus kerriae","world","web"
"4029","Belarus",NA,"Crypturellus kerriae","world","web"
"4030","Belize",NA,"Crypturellus kerriae","world","web"
"4031","Bermuda",NA,"Crypturellus kerriae","world","web"
"4032","Bolivia",NA,"Crypturellus kerriae","world","web"
"4033","Brazil",NA,"Crypturellus kerriae","world","web"
"4034","Barbados",NA,"Crypturellus kerriae","world","web"
"4035","Brunei",NA,"Crypturellus kerriae","world","web"
"4036","Bhutan",NA,"Crypturellus kerriae","world","web"
"4037","Bouvet Island",NA,"Crypturellus kerriae","world","web"
"4038","Botswana",NA,"Crypturellus kerriae","world","web"
"4039","Central African Republic",NA,"Crypturellus kerriae","world","web"
"4040","Canada",NA,"Crypturellus kerriae","world","web"
"4041","Cocos (Keeling) Islands",NA,"Crypturellus kerriae","world","web"
"4042","Switzerland",NA,"Crypturellus kerriae","world","web"
"4043","Chile",NA,"Crypturellus kerriae","world","web"
"4044","China",NA,"Crypturellus kerriae","world","web"
"4045","Côte d’Ivoire",NA,"Crypturellus kerriae","world","web"
"4046","Cameroon",NA,"Crypturellus kerriae","world","web"
"4047","Congo - Kinshasa",NA,"Crypturellus kerriae","world","web"
"4048","Congo - Brazzaville",NA,"Crypturellus kerriae","world","web"
"4049","Cook Islands",NA,"Crypturellus kerriae","world","web"
"4050","Colombia",NA,"Crypturellus kerriae","world","web"
"4051","Comoros",NA,"Crypturellus kerriae","world","web"
"4052","Cape Verde",NA,"Crypturellus kerriae","world","web"
"4053","Costa Rica",NA,"Crypturellus kerriae","world","web"
"4054","Cuba",NA,"Crypturellus kerriae","world","web"
"4055","Curaçao",NA,"Crypturellus kerriae","world","web"
"4056","Christmas Island",NA,"Crypturellus kerriae","world","web"
"4057","Cayman Islands",NA,"Crypturellus kerriae","world","web"
"4058","Cyprus",NA,"Crypturellus kerriae","world","web"
"4059","Czechia",NA,"Crypturellus kerriae","world","web"
"4060","Germany",NA,"Crypturellus kerriae","world","web"
"4061","Djibouti",NA,"Crypturellus kerriae","world","web"
"4062","Dominica",NA,"Crypturellus kerriae","world","web"
"4063","Denmark",NA,"Crypturellus kerriae","world","web"
"4064","Dominican Republic",NA,"Crypturellus kerriae","world","web"
"4065","Algeria",NA,"Crypturellus kerriae","world","web"
"4066","Ecuador",NA,"Crypturellus kerriae","world","web"
"4067","Egypt",NA,"Crypturellus kerriae","world","web"
"4068","Eritrea",NA,"Crypturellus kerriae","world","web"
"4069","Western Sahara",NA,"Crypturellus kerriae","world","web"
"4070","Spain",NA,"Crypturellus kerriae","world","web"
"4071","Estonia",NA,"Crypturellus kerriae","world","web"
"4072","Ethiopia",NA,"Crypturellus kerriae","world","web"
"4073","Finland",NA,"Crypturellus kerriae","world","web"
"4074","Fiji",NA,"Crypturellus kerriae","world","web"
"4075","Falkland Islands (Islas Malvinas)",NA,"Crypturellus kerriae","world","web"
"4076","France",NA,"Crypturellus kerriae","world","web"
"4077","Faroe Islands",NA,"Crypturellus kerriae","world","web"
"4078","Micronesia",NA,"Crypturellus kerriae","world","web"
"4079","Gabon",NA,"Crypturellus kerriae","world","web"
"4080","United Kingdom",NA,"Crypturellus kerriae","world","web"
"4081","Georgia",NA,"Crypturellus kerriae","world","web"
"4082","Guernsey",NA,"Crypturellus kerriae","world","web"
"4083","Ghana",NA,"Crypturellus kerriae","world","web"
"4084","Gibraltar",NA,"Crypturellus kerriae","world","web"
"4085","Guinea",NA,"Crypturellus kerriae","world","web"
"4086","Guadeloupe",NA,"Crypturellus kerriae","world","web"
"4087","Gambia",NA,"Crypturellus kerriae","world","web"
"4088","Guinea-Bissau",NA,"Crypturellus kerriae","world","web"
"4089","Equatorial Guinea",NA,"Crypturellus kerriae","world","web"
"4090","Greece",NA,"Crypturellus kerriae","world","web"
"4091","Grenada",NA,"Crypturellus kerriae","world","web"
"4092","Greenland",NA,"Crypturellus kerriae","world","web"
"4093","Guatemala",NA,"Crypturellus kerriae","world","web"
"4094","French Guiana",NA,"Crypturellus kerriae","world","web"
"4095","Guam",NA,"Crypturellus kerriae","world","web"
"4096","Guyana",NA,"Crypturellus kerriae","world","web"
"4097","Hong Kong",NA,"Crypturellus kerriae","world","web"
"4098","Heard & McDonald Islands",NA,"Crypturellus kerriae","world","web"
"4099","Honduras",NA,"Crypturellus kerriae","world","web"
"4100","Croatia",NA,"Crypturellus kerriae","world","web"
"4101","Haiti",NA,"Crypturellus kerriae","world","web"
"4102","Hungary",NA,"Crypturellus kerriae","world","web"
"4103","Indonesia",NA,"Crypturellus kerriae","world","web"
"4104","Isle of Man",NA,"Crypturellus kerriae","world","web"
"4105","India",NA,"Crypturellus kerriae","world","web"
"4106","British Indian Ocean Territory",NA,"Crypturellus kerriae","world","web"
"4107","Ireland",NA,"Crypturellus kerriae","world","web"
"4108","Iran",NA,"Crypturellus kerriae","world","web"
"4109","Iraq",NA,"Crypturellus kerriae","world","web"
"4110","Iceland",NA,"Crypturellus kerriae","world","web"
"4111","Israel",NA,"Crypturellus kerriae","world","web"
"4112","Italy",NA,"Crypturellus kerriae","world","web"
"4113","Jamaica",NA,"Crypturellus kerriae","world","web"
"4114","Jersey",NA,"Crypturellus kerriae","world","web"
"4115","Jordan",NA,"Crypturellus kerriae","world","web"
"4116","Japan",NA,"Crypturellus kerriae","world","web"
"4117","Kazakhstan",NA,"Crypturellus kerriae","world","web"
"4118","Kenya",NA,"Crypturellus kerriae","world","web"
"4119","Kyrgyzstan",NA,"Crypturellus kerriae","world","web"
"4120","Cambodia",NA,"Crypturellus kerriae","world","web"
"4121","Kiribati",NA,"Crypturellus kerriae","world","web"
"4122","St. Kitts & Nevis",NA,"Crypturellus kerriae","world","web"
"4123","South Korea",NA,"Crypturellus kerriae","world","web"
"4124","Kuwait",NA,"Crypturellus kerriae","world","web"
"4125","Laos",NA,"Crypturellus kerriae","world","web"
"4126","Lebanon",NA,"Crypturellus kerriae","world","web"
"4127","Liberia",NA,"Crypturellus kerriae","world","web"
"4128","Libya",NA,"Crypturellus kerriae","world","web"
"4129","St. Lucia",NA,"Crypturellus kerriae","world","web"
"4130","Liechtenstein",NA,"Crypturellus kerriae","world","web"
"4131","Sri Lanka",NA,"Crypturellus kerriae","world","web"
"4132","Lesotho",NA,"Crypturellus kerriae","world","web"
"4133","Lithuania",NA,"Crypturellus kerriae","world","web"
"4134","Luxembourg",NA,"Crypturellus kerriae","world","web"
"4135","Latvia",NA,"Crypturellus kerriae","world","web"
"4136","Macao",NA,"Crypturellus kerriae","world","web"
"4137","St. Martin",NA,"Crypturellus kerriae","world","web"
"4138","Morocco",NA,"Crypturellus kerriae","world","web"
"4139","Monaco",NA,"Crypturellus kerriae","world","web"
"4140","Moldova",NA,"Crypturellus kerriae","world","web"
"4141","Madagascar",NA,"Crypturellus kerriae","world","web"
"4142","Maldives",NA,"Crypturellus kerriae","world","web"
"4143","Mexico",NA,"Crypturellus kerriae","world","web"
"4144","Marshall Islands",NA,"Crypturellus kerriae","world","web"
"4145","North Macedonia",NA,"Crypturellus kerriae","world","web"
"4146","Mali",NA,"Crypturellus kerriae","world","web"
"4147","Malta",NA,"Crypturellus kerriae","world","web"
"4148","Myanmar (Burma)",NA,"Crypturellus kerriae","world","web"
"4149","Montenegro",NA,"Crypturellus kerriae","world","web"
"4150","Mongolia",NA,"Crypturellus kerriae","world","web"
"4151","Northern Mariana Islands",NA,"Crypturellus kerriae","world","web"
"4152","Mozambique",NA,"Crypturellus kerriae","world","web"
"4153","Mauritania",NA,"Crypturellus kerriae","world","web"
"4154","Montserrat",NA,"Crypturellus kerriae","world","web"
"4155","Martinique",NA,"Crypturellus kerriae","world","web"
"4156","Mauritius",NA,"Crypturellus kerriae","world","web"
"4157","Malawi",NA,"Crypturellus kerriae","world","web"
"4158","Malaysia",NA,"Crypturellus kerriae","world","web"
"4159","Mayotte",NA,"Crypturellus kerriae","world","web"
"4160","Namibia",NA,"Crypturellus kerriae","world","web"
"4161","New Caledonia",NA,"Crypturellus kerriae","world","web"
"4162","Niger",NA,"Crypturellus kerriae","world","web"
