Sequence,species,English.name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,wing.lcentr,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,result.taxonid,result.category,agriculture,invasive,residential,energy,transportation,resource_use,intrusion,nat_sys_modif,pollution,geological,climate_change,other,masscentr,rangecentr,clutchcentr,clutch.size,gen.length,genlcentr
1081,Caprimulgus affinis,Savanna Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-014F2462,5,2,3,0,4,20.6,7.3,5.3,3,17.8,0.184039171,159.6,70.6,85.2,45.3,94.4,58.7,Dunning,NA,NO,NA,NA,Grassland,3,2,Carnivore,Invertivore,Aerial,-10.94,34.89,17.18,94.41,4956065.32,22689985,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.176469033,2.965595502,-0.30728718,2,4.124963411,0.080126065
1082,Caprimulgus tristigma,Freckled Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-E3C780D6,4,2,2,0,4,22.4,6.9,5,3,20.2,0.249240205,171.8,85.5,86.3,49.8,114.8,79,Dunning,NA,NO,NA,NA,Rock,3,1,Carnivore,Invertivore,Aerial,-35.44,15.38,-7.06,21.08,4557630.15,22689988,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.473477159,2.881786143,-0.30728718,2,3.492056316,-0.051392662
1083,Caprimulgus prigoginei,Prigogine's Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-4B58353A,1,1,0,0,1,20.6,6,5.2,4.3,12.6,0.191521257,161,69.5,91.5,43.2,94.5,57.5,EltonTraits_GenAvg,NA,NO,NA,NA,NA,1,1,Carnivore,Invertivore,Aerial,-3.89,-3.3,-3.58,28.71,2164.65,22689954,EN,1,0,0,0,0,0,0,0,0,0,0,0,0.155814254,-4.770513235,NA,NA,3.434629461,-0.06332602
1084,Caprimulgus batesi,Bates's Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-CCA7AB2D,4,2,2,0,4,20.1,6.2,4.6,3.2,18.2,0.32245776,185.5,83.8,101.8,45.1,144.5,100,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-5.44,4.73,-0.81,19.95,1859436.15,22690004,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.709199492,1.985256655,-0.576336676,1,4.158951947,0.087188917
1085,Caprimulgus climacurus,Long-tailed Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-A20EA34D,4,2,2,0,4,16.1,5.2,4,2.4,17.9,0.09639188,143.2,70.4,72.8,49.2,213.8,45.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Aerial,0.47,19.72,10.09,11.27,7239636.45,22690008,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.071686603,3.34455435,-0.30728718,2,2.887614414,-0.176996293
1086,Caprimulgus clarus,Slender-tailed Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-54494BCE,4,2,2,0,4,17.3,5.4,4.1,2.8,19.2,0.120975876,147.8,69.1,78.7,46.8,115.2,42.5,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Aerial,-7.06,12.16,3.35,39.28,1225629.63,22690012,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.146466618,1.568438054,-0.30728718,2,3.019583215,-0.149573044
1087,Caprimulgus fossii,Mozambique Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-4FD242D0,4,2,2,0,4,16.7,4.9,3.8,2.7,19,0.159455175,155,70.2,84.8,45.4,109,58.3,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Aerial,-30.2,0.82,-12.6,26.49,5155775.73,22690016,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.169631399,3.005100946,-0.30728718,2,3.278743544,-0.095719269
1088,Caprimulgus longipennis,Standard-winged Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-D36F4D98,5,2,3,0,4,16.3,5.6,4.1,2.8,20.1,0.256722291,173.2,83.7,88.8,48.3,102.2,48,Dunning,NA,NO,NA,NA,Grassland,3,2,Carnivore,Invertivore,Aerial,1.23,15.4,8.37,6.14,3883244.3,22690021,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.024769683,2.721654323,-0.30728718,2,3.086471715,-0.135673547
1089,Caprimulgus vexillarius,Pennant-winged Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-A526534E,5,2,3,0,4,16.9,5.6,4.3,3,22.8,0.43843009,207.2,82.6,124.6,39.8,127.4,72.2,Dunning,NA,NO,NA,NA,Woodland,3,2,Carnivore,Invertivore,Aerial,-24.72,-4.59,-12.63,27,3406683.13,22690025,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.383469352,2.590722487,-0.30728718,2,3.423034304,-0.065735505
1090,Veles binotatus,Brown Nightjar,Caprimulgidae,Caprimulgiformes,AVIBASE-BBC51216,4,2,2,0,4,13.6,6.3,4.3,2.6,10.6,0.126320223,148.8,69,79.8,46.4,99.2,63,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,-4.79,8.26,2.71,8.79,701719.54,22689871,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.247164032,1.010761888,NA,NA,3.325406045,-0.086022755
1091,Aegotheles savesi,New Caledonian Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-7D6D30A3,1,0,1,0,0,21.6,6.6,7.1,5,32.5,0.202209951,163,34,129,20.9,149,52,Inferred,NA,YES,Beak Depth; Body Mass,Aegotheles tatei,Forest,1,NA,Carnivore,Invertivore,Insessorial,-21.98,-21.93,-21.96,166.48,10.73,22689559,CR,0,1,0,1,0,1,0,1,0,0,0,0,0.055273025,-10.07748364,NA,NA,3.441140135,-0.061973095
1092,Aegotheles insignis,Feline Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-76F38417,4,2,2,0,4,19.5,6.1,3.9,4,21.3,0.213967515,165.2,50.2,115,30.4,137,78.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.22,-0.46,-5.27,141.9,168011.22,22689550,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.467127931,-0.418741157,NA,NA,3.772146184,0.006810293
1093,Aegotheles tatei,Spangled Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-EBD55D2E,1,1,0,0,1,20,7.4,7.5,5,16.1,0.110287182,145.8,40.2,105.6,27.6,130.2,52,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.44,-5.74,-6.95,143.23,3664.11,22728459,DD,0,0,0,0,0,1,0,0,0,0,0,0,0.055273025,-4.244186452,NA,NA,3.487403542,-0.052359513
1094,Aegotheles crinifrons,Moluccan Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-83BA78F5,5,2,0,3,3,23.3,8.2,8.4,6,24.9,0.210760906,164.6,45,119.5,27.4,144.1,136,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-0.92,2.23,0.71,127.95,20463.32,22689546,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.016684192,-2.524137905,NA,NA,4.181561085,0.091887118
1095,Aegotheles cristatus,Australian Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-175A7534,5,2,3,0,4,14,5,4,3.7,23.7,0.056843712,135.8,47,88.8,34.6,121.2,42.8,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-43.64,-6.65,-25.68,134.52,7702773.06,22689555,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.139432591,3.40656376,0.033060433,3.265,3.113611927,-0.130033784
1096,Aegotheles affinis,Allied Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-3CDD6AA9,3,1,2,0,3,17.6,6.2,5.3,4.2,20.4,0.045620583,133.7,39.5,94.3,29.5,115.4,60,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.34,-0.79,-3.25,138.45,1146.69,60814512,DD,1,0,0,0,0,1,0,0,0,0,0,0,0.198373868,-5.405892389,NA,NA,2.693657782,-0.217300675
1097,Aegotheles bennettii,Barred Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-6417F60A,4,3,1,0,4,15.6,5.6,4.4,3.9,19.4,-0.0126328,122.8,39.8,83,32.4,114.5,60,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.73,-1.97,-5.65,144.01,198113.2,60814475,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.198373868,-0.253933336,NA,NA,3.591851529,-0.030655117
1098,Aegotheles wallacii,Wallace's Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-27853C12,3,2,1,0,3,17.5,5.4,3.8,3.9,18.5,-0.032941319,119,35.7,83.3,30,102.7,50.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.15,-0.51,-4.45,139.74,40086.3,22689568,LC,1,1,0,0,0,1,0,0,0,0,0,0,0.029955217,-1.85173729,NA,NA,3.390013898,-0.072597178
1099,Aegotheles archboldi,Archbold's Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-6974CD34,2,1,1,0,2,12.9,3.6,3.5,2.6,18.6,-0.046302186,116.5,37,79.5,31.8,95.5,30.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.37,-3.35,-4.19,138.51,44983.92,22689572,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.474970685,-1.736466828,NA,NA,3.095903624,-0.133713587
1100,Aegotheles albertisi,Mountain Owlet-nightjar,Aegothelidae,Caprimulgiformes,AVIBASE-482087E5,1,0,0,1,1,11.6,4.2,3.2,4,18.8,-0.059663054,114,34,80,29.8,87,35.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.31,-0.99,-6.49,144.64,95188.1,22689576,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.334924611,-0.986916986,NA,NA,3.158990335,-0.120604105
1101,Hemiprocne coronata,Crested Treeswift,Hemiprocnidae,Caprimulgiformes,AVIBASE-509C8FD4,4,2,2,0,4,11.9,2.9,2.9,2,8.2,0.144491003,152.2,106.3,46,69.8,125,29,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Aerial,5.92,31.1,20.18,90.5,3347103.26,22686891,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.528674864,2.573078632,-0.576336676,1,2.662058603,-0.223867016
1102,Hemiprocne longipennis,Grey-rumped Treeswift,Hemiprocnidae,Caprimulgiformes,AVIBASE-9B8B422F,5,2,3,0,4,7.1,4,3.4,2.4,12.8,0.226793948,167.6,99.6,67.1,59.7,102,42.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-8.96,13.01,0.16,110.81,1465704.57,22686894,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.139432591,1.747319421,NA,NA,3.035237684,-0.14632003
1103,Hemiprocne comata,Whiskered Treeswift,Hemiprocnidae,Caprimulgiformes,AVIBASE-76477B32,8,5,3,0,4,5.7,3.1,2.8,2,6.2,0.019433282,128.8,68.8,53.6,56.2,75,20.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,18.65,2.8,110.36,1482225.39,22686900,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.870679618,1.758527959,-0.576336676,1,2.546139483,-0.247955125
1104,Hemiprocne mystacea,Moustached Treeswift,Hemiprocnidae,Caprimulgiformes,AVIBASE-C689BD7E,5,3,2,0,4,14.3,5.3,4.6,2.8,10.1,0.488666953,216.6,150.8,63.2,70.4,174.2,70.1,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Aerial,-11.85,2.65,-5.22,141.33,805813.24,22686897,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.3539521,1.149080083,-0.576336676,1,4.393391447,0.135905679
1105,Cypseloides cherriei,Spot-fronted Swift,Apodidae,Caprimulgiformes,AVIBASE-258B1B37,5,2,2,1,4,7.1,3.5,3.3,2.6,12.7,-0.001944106,124.8,84.1,40.7,67.4,44.7,22.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-0.93,10.15,3.35,-75.73,111074.69,22686458,DD,0,0,0,0,0,0,0,0,0,0,0,0,-0.800393085,-0.832569062,-0.576336676,1,3.2151187,-0.108940575
1106,Cypseloides cryptus,White-chinned Swift,Apodidae,Caprimulgiformes,AVIBASE-0770CE13,4,1,2,1,4,8.6,3.7,3.7,2.4,16,0.064325797,137.2,93.1,44.1,67.8,44.8,34.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-14.24,17.17,8.33,-74.92,413124,22686464,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.35501137,0.48097587,-0.576336676,1,3.59480069,-0.030042278
1107,Cypseloides storeri,White-fronted Swift,Apodidae,Caprimulgiformes,AVIBASE-DD9CB478,0,0,0,0,0,8.6,3.7,3.7,2.4,16,0.064325797,137.2,93.1,44.1,67.8,44.8,39.5,Dunning,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Cypseloides cryptus,Forest,1,1,Carnivore,Invertivore,Aerial,17.16,20,18.67,-101.27,84466.8,22686461,DD,0,0,0,0,0,0,0,0,0,0,0,0,-0.219670022,-1.106413363,NA,NA,3.104781646,-0.131868725
1108,Cypseloides niger,Black Swift,Apodidae,Caprimulgiformes,AVIBASE-7FB66FEB,5,2,3,0,4,9,3.7,3.4,2.4,12.5,0.129526831,149.4,105.2,39.3,73,59.4,39.7,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,8.88,57.94,32.36,-105.27,1303249.37,22686440,VU,0,0,0,0,0,0,0,0,1,0,1,0,-0.214619506,1.62984402,-0.576336676,1,3.738376237,-0.000207136
1109,Cypseloides lemosi,White-chested Swift,Apodidae,Caprimulgiformes,AVIBASE-B66A13A9,2,0,2,0,2,8.9,4.7,3.3,3,13.3,0.133802309,150.2,108.8,41.4,72.4,54,28.1,Dunning,NA,NO,NA,NA,Human Modified,1,1,Carnivore,Invertivore,Aerial,-0.98,3.53,2.5,-76.69,3577.91,22686447,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.560201118,-4.267993089,NA,NA,3.003410862,-0.152933675
1110,Cypseloides rothschildi,Rothschild's Swift,Apodidae,Caprimulgiformes,AVIBASE-CB21F7A7,6,2,3,1,5,7.3,4.3,3.5,2.7,14.1,0.14983535,153.2,90.6,62.6,59.1,60.8,42,Inferred,NA,YES,Body Mass,Cypseloides fumigatus,Forest,1,1,Carnivore,Invertivore,Aerial,-28.81,-17.89,-23.54,-64.66,166600.94,22686450,NT,1,0,1,0,1,1,0,0,0,0,0,0,-0.158301076,-0.427170548,NA,NA,3.135984341,-0.125384774
1111,Cypseloides fumigatus,Sooty Swift,Apodidae,Caprimulgiformes,AVIBASE-9054A7CA,4,0,1,3,4,8.6,3.9,3.2,2.4,13.5,0.107080574,145.2,101.2,44,69.7,44,42,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Aerial,-33.03,-9.56,-19.46,-47.32,2325060.02,22686453,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.158301076,2.208729212,-0.576336676,1,3.602283622,-0.028487317
1112,Cypseloides senex,Great Dusky Swift,Apodidae,Caprimulgiformes,AVIBASE-61C74CAD,4,2,2,0,4,7.8,4.8,4.5,2.9,22.6,0.233207164,168.8,103.8,65,61.5,55.8,82.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-26.93,-8.54,-17.5,-51.71,2015575.96,22686467,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.514400414,2.065888349,NA,NA,3.473448324,-0.055259421
1113,Streptoprocne rutila,Chestnut-collared Swift,Apodidae,Caprimulgiformes,AVIBASE-50222B1F,5,0,3,2,4,7.1,3,3.7,2,12,0.025846499,130,93.2,38.1,71,44.5,20.2,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,-17.92,25.81,7.17,-85.11,1392664.2,22686424,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.890288089,1.696201962,-0.30728718,2,2.861410823,-0.182441425
1114,Streptoprocne phelpsi,Tepui Swift,Apodidae,Caprimulgiformes,AVIBASE-152D907A,1,0,1,0,1,7.3,3.6,2.5,1.9,14,-0.000875236,125,92.2,32.8,73.8,58,21.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,-0.35,6.14,3.62,-64.24,255999.37,22686434,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.814060724,0.002403063,NA,NA,2.820222715,-0.191000355
1115,Streptoprocne zonaris,White-collared Swift,Apodidae,Caprimulgiformes,AVIBASE-88D7E68D,5,2,3,0,4,14.4,7.7,5.3,4,22.4,0.46675513,212.5,139.6,73,65.7,67.2,86.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,-51.75,23.88,-7.35,-64.9,8315095.89,22686476,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.567635928,3.483056003,-0.30728718,2,3.986746634,0.051404481
1116,Streptoprocne biscutata,Biscutate Swift,Apodidae,Caprimulgiformes,AVIBASE-5267D127,6,2,4,0,4,12.8,6.4,5,3.9,21.5,0.358264885,192.2,125,67.1,64.8,68.1,95.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,-30.92,-9.4,-19.94,-45.8,1314750.58,22686479,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.666291991,1.638630333,NA,NA,3.668392898,-0.014749744
1117,Streptoprocne semicollaris,White-naped Swift,Apodidae,Caprimulgiformes,AVIBASE-6CDEB3D1,3,0,1,2,2,16.5,7.4,5.8,4.2,28.4,0.517526427,222,154.2,67.8,69.5,72.7,175,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,16.95,27.61,21.39,-102.72,324675.19,22686482,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.26881528,0.240053347,-0.30728718,2,4.76306377,0.212723957
1118,Mearnsia picina,Philippine Spinetail,Apodidae,Caprimulgiformes,AVIBASE-5B67443F,2,0,2,0,0,6.7,3,2.9,3.2,12.6,0.194193431,161.5,115.6,46,71.4,26.1,42.5,Dunning,NA,YES,Beak Culmen; Beak Nares,Mearnsia novaeguineae,Forest,1,1,Carnivore,Invertivore,Aerial,5.56,12.59,8.44,124.67,112656.13,22686630,NT,1,0,1,1,0,1,0,0,0,0,0,0,-0.146466618,-0.818431839,NA,NA,3.251609885,-0.10135767
1119,Mearnsia novaeguineae,Papuan Spinetail,Apodidae,Caprimulgiformes,AVIBASE-BC8996E2,4,2,2,0,4,6.7,3,2.4,2.2,10.7,0.025846499,130,90,40,69.2,29.8,32.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-10.76,-1.47,-5.85,141.28,480409.55,22686634,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.411658406,0.631867049,NA,NA,3.119480682,-0.128814251
1120,Zoonavena grandidieri,Madagascar Spinetail,Apodidae,Caprimulgiformes,AVIBASE-B0A0EA81,4,2,2,0,4,4.7,2.4,1.5,1.7,9.9,-0.00354741,124.5,85.5,39,68.7,42.2,8,Inferred,NA,YES,Body Mass,Zoonavena thomensis,Forest,1,1,Carnivore,Invertivore,Aerial,-25.61,-11.36,-19.37,46.69,592268.37,22686638,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.816529152,0.841187939,NA,NA,2.286032144,-0.30200569
1121,Zoonavena thomensis,Sao Tome Spinetail,Apodidae,Caprimulgiformes,AVIBASE-66F1256F,4,1,2,1,4,4.8,2.4,1.6,1.7,8.9,-0.083712616,109.5,74.2,35.2,67.8,40.2,8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-0.01,1.7,0.45,6.73,1008.51,22686643,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.816529152,-5.534297926,-0.105500057,2.75,2.304784443,-0.298108943
1122,Zoonavena sylvatica,White-rumped Spinetail,Apodidae,Caprimulgiformes,AVIBASE-A24E5001,5,2,3,0,4,4.7,2,1.8,1.5,10.8,-0.077833834,110.6,76.8,34.2,69.2,30.4,16,Inferred,NA,YES,Body Mass,Rhaphidura sabini,Forest,1,1,Carnivore,Invertivore,Aerial,8.77,31.06,22.96,81.81,735766.35,22686649,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.123381972,1.058140689,0.217359338,3.95,2.159108278,-0.328380596
1123,Telacanthura ussheri,Mottled Spinetail,Apodidae,Caprimulgiformes,AVIBASE-8ACC245F,5,2,3,0,4,8.5,3.6,2.9,2.3,12.9,0.109218313,145.6,103,41.8,71.1,37,32.6,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Aerial,-26.87,15.93,-0.67,16.92,5188546,22686652,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.411658406,3.011436862,0.230811813,4,2.671214747,-0.22196436
1124,Telacanthura melanopygia,Black Spinetail,Apodidae,Caprimulgiformes,AVIBASE-4B79BD9A,3,2,1,0,2,10.4,3.8,2.9,2.6,16.1,0.196865604,162,112,51,68.8,49,52,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-0.79,7.99,3.95,6.46,586085.53,22686656,LC,0,0,0,0,0,0,0,0,0,0,0,0,0.055273025,0.830693814,NA,NA,3.118513988,-0.129015131
1125,Rhaphidura leucopygialis,Silver-rumped Spinetail,Apodidae,Caprimulgiformes,AVIBASE-737C55FF,5,2,2,1,4,7.4,3.4,2.7,2,10.4,-0.04790549,116.2,77.7,38.5,66.8,38.2,13.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-8.78,12.3,-0.2,108.29,1203937.95,22686661,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.285900901,1.550581168,NA,NA,2.510909492,-0.255275952
1126,Rhaphidura sabini,Sabine's Spinetail,Apodidae,Caprimulgiformes,AVIBASE-1E12D857,5,2,3,0,4,6.2,2.6,2.1,2.2,11.4,-0.009426192,123.4,82.8,41,66.8,38,16,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-6.45,9.58,2.57,12.17,1774423.81,22686664,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.123381972,1.938459115,-0.172762432,2.5,2.724527928,-0.210885828
1127,Neafrapus cassini,Cassin's Spinetail,Apodidae,Caprimulgiformes,AVIBASE-4CB38AE8,5,3,2,0,4,8.7,4,2.6,2.5,13.7,0.164799522,156,108.2,45.2,70.5,25.2,40,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Aerial,-5.9,8.77,1.74,15.32,2065483.42,22686668,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.20709124,2.090347659,NA,NA,2.982501762,-0.157278607
1128,Neafrapus boehmi,Böhm's Spinetail,Apodidae,Caprimulgiformes,AVIBASE-0D52DFC7,4,2,2,0,4,6.2,2.6,1.9,1.6,9,-0.028665841,119.8,77.2,42.5,64.5,21.5,14.4,Dunning,NA,NO,NA,NA,Woodland,1,2,Carnivore,Invertivore,Aerial,-24.88,0.27,-11.94,32.31,1674288.3,22686672,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.228742487,1.880371538,-0.038237683,3,2.527825208,-0.251760849
1129,Chaetura fumosa,Costa Rican Swift,Apodidae,Caprimulgiformes,AVIBASE-7DBCF8E4,4,0,4,0,2,5.1,2.5,1.6,1.9,9.6,-0.101348961,106.2,72,34.2,67.8,35.2,15.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,8.03,9.51,8.71,-82.98,13071.58,22730119,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.142309982,-2.972331513,NA,NA,2.698803538,-0.216231382
1130,Chaetura spinicaudus,Band-rumped Swift,Apodidae,Caprimulgiformes,AVIBASE-AEFB8157,9,4,4,1,8,7.9,3.5,3.1,2.1,10.3,-0.114709829,103.7,67.1,36.3,64.9,40.7,15.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-10.45,11.36,1.2,-60,3138608.09,22686693,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.142309982,2.508762777,NA,NA,2.668101119,-0.222611375
1131,Chaetura martinica,Lesser Antillean Swift,Apodidae,Caprimulgiformes,AVIBASE-0E688C13,4,1,2,1,3,5.3,2.1,1.8,1.6,9.2,-0.090660267,108.2,75,33.2,69.3,35.2,12.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,13.12,16.52,15.11,-61.27,4342.26,22686698,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.37024205,-4.07437697,NA,NA,2.556699106,-0.245760825
1132,Chaetura cinereiventris,Grey-rumped Swift,Apodidae,Caprimulgiformes,AVIBASE-0F898234,5,0,0,5,4,8.1,2.9,3,2.2,10.8,-0.110968786,104.4,70.1,34.4,67,41.4,13.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-30.16,15.93,-6.25,-64.38,6102705.51,22686701,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.264081854,3.173715558,-0.065142633,2.9,2.610382414,-0.23460538
1133,Chaetura egregia,Pale-rumped Swift,Apodidae,Caprimulgiformes,AVIBASE-33352866,4,3,1,0,4,8.9,3.7,4.1,2.6,13,-0.044698882,116.8,74,42.7,63.2,43,23.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-18.06,-0.15,-11.08,-64.91,1756675.46,22686706,LC,0,0,0,0,0,0,0,0,0,0,0,0,-0.743234672,1.928406438,-0.065142633,2.9,2.894512854,-0.17556279
1134,Chaetura vauxi,Vaux's Swift,Apodidae,Caprimulgiformes,AVIBASE-1775ED98,9,4,5,0,4,5.3,2.8,2.4,2.2,10.1,-0.074092791,111.3,77.1,34.4,69.2,38.8,17.1,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Aerial,7.21,56.36,36.03,-109.15,2280008.55,154632189,LC,0,0,0,0,0,0,0,0,0,0,0,0,-1.05689223,2.189162552,0.230811813,4,2.348481441,-0.289028663
1135,Chaetura andrei,Andre's Swift,Apodidae,Caprimulgiformes,AVIBASE-B414537B,0,0,0,0,0,5.3,2.8,2.4,2.2,10.1,-0.074092791,111.3,77.1,34.4,69.2,38.8,17.1,DataFromSplit,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Chaetura vauxi,Forest,1,3,Carnivore,Invertivore,Aerial,NA,NA,NA,NA,NA,154632117,VU,1,0,0,0,0,1,0,0,0,0,0,0,-1.05689223,NA,NA,NA,NA,NA
