"","X","Sequence","species","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other","logmass","logrange"
"461",477,2626,"Larus californicus","Laridae","Charadriiformes","AVIBASE-7FCE8A43",4,2,2,0,4,55.7,19.8,7,14.2,57,377,220.2,156.8,58.4,140,683.4,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Omnivore","Omnivore","Terrestrial",37.92,64.01,52.58,-110,1997786.84,22694321,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6.52708033968119,14.5075505458125
"462",478,2603,"Larus cirrocephalus","Laridae","Charadriiformes","AVIBASE-6EB497FA",5,2,3,0,4,47.5,18.2,5.1,10.2,49.5,319,176.2,140.5,55.6,124.6,374.7,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Carnivore","Aquatic predator","Aerial",-39.24,23.17,-17.4,11.28,6411818.5,22694387,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.92612570579964,15.6736534860103
"463",479,2610,"Larus fuliginosus","Laridae","Charadriiformes","AVIBASE-D97BE642",5,2,3,0,4,48.5,19.8,6.9,13.2,51.2,341,185.5,156.2,54.3,139,380,"Dunning",NA,"NO",NA,NA,"Coastal",3,1,"Omnivore","Omnivore","Aerial",-1.41,0.65,-0.57,-90.9,2591.47,22694452,3,1,0,1,0,0,0,1,0,0,0,0,0,0,5.94017125272043,7.8599805612556
"464",480,2628,"Larus fuscus","Laridae","Charadriiformes","AVIBASE-2D52E3A5",10,4,5,1,4,62.3,23,7.9,15.8,61.5,412.2,235.5,174.5,57.4,147,762.4,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Generalist",38.68,77.89,66.29,57.44,4200335.24,22694373,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6.63647135233999,15.2506748991158
"465",481,2597,"Larus genei","Laridae","Charadriiformes","AVIBASE-27CE7132",6,3,2,1,4,52.1,23.2,5,9.4,49.4,300.8,171.5,130,56.9,110.2,281,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Generalist",13,52.64,41.71,54.12,1728211.09,22694428,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.63835466933375,14.3625973794502
"466",482,2634,"Larus glaucoides","Laridae","Charadriiformes","AVIBASE-FB4FCB27",13,6,7,0,8,59,21.7,7.5,15.5,58.3,395.8,216.7,178.1,54.9,157.1,693.3,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Generalist",59.78,83.11,72.52,-80.08,1717217.56,22729877,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6.54146280594844,14.3562158412295
"467",483,2617,"Larus heermanni","Laridae","Charadriiformes","AVIBASE-6996D540",4,2,2,0,4,56.3,18,6,12.2,51.6,336.2,185.8,150.5,55.2,133.2,500,"Dunning",NA,"NO",NA,NA,"Coastal",3,1,"Carnivore","Aquatic predator","Aerial",20.29,36.98,27.49,-114.16,842438.69,22694296,2,0,0,1,0,0,0,1,1,0,1,0,1,0,6.21460809842219,13.6440561670473
"468",484,2614,"Larus hemprichii","Laridae","Charadriiformes","AVIBASE-67D43542",6,3,2,1,4,55.7,21.8,6.5,12.9,50.7,340.8,197.5,139.5,58.6,122.7,451.7,"Dunning",NA,"NO",NA,NA,"Marine",3,1,"Omnivore","Omnivore","Terrestrial",-6.48,28.12,18.3,47.63,157820.35,22694303,1,0,0,0,0,1,0,1,0,0,1,0,0,0,6.11301824266056,11.969212639789
"469",485,2611,"Larus ichthyaetus","Laridae","Charadriiformes","AVIBASE-EF930CDC",5,2,3,0,4,73,27.4,8.9,19.5,71.5,470.8,255.2,210.2,54.7,172.8,1378.8,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Omnivore","Omnivore","Generalist",41.47,53.6,48.59,67.41,739530.35,22694379,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7.22896883464271,13.5137706015349
"470",486,2615,"Larus leucophthalmus","Laridae","Charadriiformes","AVIBASE-A7F240E3",5,2,3,0,4,52.5,20.8,4.9,10.2,44.5,322.2,187.8,133,58.5,115.6,328.9,"Dunning",NA,"NO",NA,NA,"Coastal",3,1,"Carnivore","Aquatic predator","Generalist",10.99,28.01,16.89,40.53,1402.69,22694299,1,0,0,1,1,1,0,1,1,0,1,0,0,0,5.79575375319501,7.24614710059207
"471",487,2638,"Larus marinus","Laridae","Charadriiformes","AVIBASE-E826E9F3",10,4,5,1,3,79.1,28,10.2,23.5,74.2,478.2,248.1,227.2,52.3,185.7,1649.7,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Omnivore","Omnivore","Terrestrial",27.94,79.87,60.23,-19.59,1075355.21,22694324,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.40834873218188,13.8881615928716
"472",488,2613,"Larus melanocephalus","Laridae","Charadriiformes","AVIBASE-052BFA8A",5,2,3,0,4,42.2,17,5.4,11.2,48.3,302.4,172.5,129.2,57.1,113.2,256,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Omnivore","Generalist",35.17,56.28,45.17,26.2,250526.34,22694443,1,0,0,0,1,0,0,1,1,0,0,0,0,0,5.54517744447956,12.4313193436798
"473",489,2631,"Larus michahellis","Laridae","Charadriiformes","AVIBASE-E074D706",4,1,3,0,4,67.6,25.4,8.6,18.2,66,422.8,231.2,191.5,54.6,163,1111.9,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Generalist",23.53,51.69,39.06,5.14,858974.47,62030970,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0138255427092,13.6634944799194
"474",490,2606,"Larus modestus","Laridae","Charadriiformes","AVIBASE-804CCA3A",4,2,2,0,4,50.7,19.8,5.1,10.4,46.8,318,176.5,141.5,55.5,116.8,344,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Generalist",-26.92,-18.63,-22.95,-69.87,83704.77,22694292,1,0,0,1,0,1,0,1,0,0,0,0,1,0,5.8406416573734,11.3350512441011
"475",491,2604,"Larus novaehollandiae","Laridae","Charadriiformes","AVIBASE-AD086862",10,4,4,2,8,39.6,17.5,5.3,10.2,44.3,277.3,146.5,129.8,53,107.6,269,"Dunning",NA,"NO",NA,NA,"Coastal",3,1,"Carnivore","Omnivore","Generalist",-53.62,-9.91,-32.83,146.36,4107593.11,62021891,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.59471137960184,15.2283477969264
"476",492,2618,"Larus pacificus","Laridae","Charadriiformes","AVIBASE-C08157E7",5,1,1,3,4,67.6,26.4,10.3,29.7,71.2,444.2,242.5,203.5,54.4,177.2,1292,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Generalist",-43.64,-21.62,-35.11,134.28,392125.03,22694279,1,0,0,1,0,0,0,0,0,0,0,0,1,0,7.16394668434255,12.8793360219992
"477",493,2596,"Larus philadelphia","Laridae","Charadriiformes","AVIBASE-0337440E",5,2,2,1,4,35,16.2,3.6,6.6,32.3,259.4,153.2,106.5,59,95.6,210.7,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Omnivore","Aerial",47.93,68.6,58.97,-118.98,4415568.74,22694432,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.35043532081014,15.3006472036557
"478",494,2612,"Larus relictus","Laridae","Charadriiformes","AVIBASE-166CE0D7",8,4,4,0,8,47.5,17.6,6.4,11.2,54.7,335.2,164,171.2,48.9,128.8,490.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aerial",40.08,50.69,47.08,99.19,1411880.5,22694447,3,1,1,1,1,0,1,0,1,0,1,0,1,0,6.19481347109401,14.1604330617258
"479",495,2633,"Larus smithsonianus","Laridae","Charadriiformes","AVIBASE-D5B43288",8,3,5,0,8,69.3,25.4,8.9,18.3,64.4,429.5,240.8,188.8,56.1,166,1091,"DataFromSplit",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Generalist",34.39,77.08,60.25,-14.5,12348737.52,62030590,1,0,0,0,0,1,0,1,0,0,0,0,1,0,6.99484998583307,16.3290643907117
"480",496,2639,"Onychoprion aleuticus","Laridae","Charadriiformes","AVIBASE-BEE4F34A",5,2,3,0,4,37.3,23.2,4.1,6.5,17.3,262.2,185,82,69.3,152.4,120,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",45.64,65.4,55.49,-13.03,1225260.49,22694716,3,1,0,1,0,0,0,1,1,0,0,0,1,0,4.78749174278205,14.0186640242532
"481",497,2641,"Onychoprion anaethetus","Laridae","Charadriiformes","AVIBASE-E6518B9D",6,3,3,0,4,45.5,28.4,5.4,7.9,20.6,273.6,182,89,67.2,182.8,119.4,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-32.93,30.31,-1.01,91.99,5130540.82,22694730,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.7824792009585,15.4507216345923
"482",498,2640,"Onychoprion fuscatus","Laridae","Charadriiformes","AVIBASE-3E7F825D",9,4,5,0,8,47.9,29.3,5.4,8.1,21,280.7,189.1,91.1,67.5,152.1,185.7,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-38.74,33.06,6.81,115.01,180205.31,22694740,1,0,0,1,0,0,0,1,0,0,0,0,1,0,5.22413246835866,12.1018520909808
"483",499,2642,"Onychoprion lunatus","Laridae","Charadriiformes","AVIBASE-1A965D60",5,2,3,0,4,45.3,28.2,5.2,7.6,18.9,261.2,178,81.2,68.6,157.6,120,"Updated_literature","BoW","NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-23.19,23.06,0.69,6.22,37443.38,22694722,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.78749174278205,10.5305852042945
"484",500,2593,"Pagophila eburnea","Laridae","Charadriiformes","AVIBASE-FED91A1F",5,2,2,1,4,45.1,16.5,6.6,11.6,38.7,333.4,201.8,129.2,61,137,550,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",50.73,84.11,74.49,-22.41,17367390.8,22694473,2,0,0,0,0,1,0,1,0,0,1,0,1,0,6.30991827822652,16.6701049139232
"485",501,2590,"Rhodostethia rosea","Laridae","Charadriiformes","AVIBASE-4CD353D2",5,2,3,0,4,25.8,10.3,3.6,5.9,29.8,251.2,152.2,100.5,60.1,107.4,187,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",58.33,83.52,73.42,52.59,1043162.18,22694476,1,0,0,0,0,0,0,1,1,0,0,0,1,0,5.23110861685459,13.857767215663
"486",502,2594,"Rissa brevirostris","Laridae","Charadriiformes","AVIBASE-58B576ED",5,2,3,0,4,38.2,13.8,5.2,10.8,30,299.8,185.2,112.8,62.2,112.8,377,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",51.77,61.8,55.95,-43.45,192125.06,22694502,3,1,0,1,0,0,0,1,0,0,0,0,1,0,5.93224518744801,12.1659017931375
"487",503,2595,"Rissa tridactyla","Laridae","Charadriiformes","AVIBASE-FB4D08F0",10,4,5,1,4,44.5,18.8,5.3,10.8,33.9,301,179.1,122.9,59.4,116,416,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",43.09,81.83,59.56,-52.28,2307068.48,22694497,3,1,0,1,0,0,0,1,0,0,1,0,1,0,6.03068526026126,14.6514882202871
"488",504,2587,"Rynchops albicollis","Laridae","Charadriiformes","AVIBASE-88151F23",4,2,2,0,4,84.9,66.6,6.3,21.9,26,371.8,257.8,114,69.3,108.5,164,"Inferred",NA,"YES","Body Mass","Rynchops flavirostris","Riverine",3,2,"Carnivore","Aquatic predator","Aerial",11.02,35.17,26.11,80.03,1179458.68,22694268,4,1,1,1,0,1,0,1,1,1,1,0,0,0,5.0998664278242,13.9805661454231
"489",505,2586,"Rynchops flavirostris","Laridae","Charadriiformes","AVIBASE-907B1140",4,2,2,0,4,83.7,66.1,6.1,20.8,27.6,332,216.8,115.2,65.2,109.5,164,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Aerial",-26.54,24.44,-3.11,22.6,9718531.11,22694262,1,0,0,1,0,0,1,1,1,1,1,0,0,0,5.0998664278242,16.0895450446464
"490",506,2588,"Saundersilarus saundersi","Laridae","Charadriiformes","AVIBASE-88BBD516",5,2,3,0,4,33.3,15.3,4.4,9.3,38.9,274.2,164.5,105.8,60.9,95.6,198,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Generalist",32.3,41.35,37.67,121.7,50186.16,22694436,3,1,1,1,1,1,0,1,0,0,0,0,0,0,5.28826703069454,10.8234945704572
"491",507,2671,"Sterna acuticauda","Laridae","Charadriiformes","AVIBASE-807E1277",6,2,4,0,4,40.7,27,4.2,6.8,14.1,223.8,153.8,74.2,67.4,145.5,153,"Inferred",NA,"YES","Body Mass","Sterna trudeaui","Riverine",3,2,"Carnivore","Aquatic predator","Aerial",8.07,32.44,21.61,79.59,2474259.32,22694711,4,1,1,1,0,0,0,1,1,1,0,0,0,0,5.03043792139244,14.7214516445499
"492",508,2659,"Sterna aurantia","Laridae","Charadriiformes","AVIBASE-A874F334",5,2,2,1,4,43.5,28,5.6,10.4,20.3,262.2,166.8,97.8,63,168.2,209,"Inferred",NA,"YES","Body Mass","Thalasseus bengalensis","Riverine",3,2,"Carnivore","Aquatic predator","Aerial",8.07,35.62,22.13,85.35,5428999.73,22694537,3,1,1,1,1,1,1,1,1,1,0,0,1,0,5.34233425196481,15.5072654631547
"493",509,2660,"Sterna dougallii","Laridae","Charadriiformes","AVIBASE-74236837",5,2,3,0,4,45.3,28.9,3.6,7,19.7,223.8,156,69.8,69.1,165.8,112,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-34.84,56.65,4.43,57.82,7673719.23,22694601,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.71849887129509,15.8533119619422
"494",510,2663,"Sterna hirundinacea","Laridae","Charadriiformes","AVIBASE-ECAE1DA1",5,2,3,0,4,49.9,29.8,4.4,8.7,21.5,296.6,202.8,93.2,68.4,171.6,188,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-56.59,-15.19,-41.04,-64.88,1375360.34,22694618,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.23644196282995,14.1342263202042
"495",511,2664,"Sterna hirundo","Laridae","Charadriiformes","AVIBASE-4D2FF6F1",14,7,6,1,8,44.5,24.2,3.8,7,19.5,253.3,170.6,82.6,67.3,129.8,129.2,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",4.3,71.19,50.38,63.44,30248469.5,22694623,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.8613615913485,17.2249561461198
"496",512,2666,"Sterna paradisaea","Laridae","Charadriiformes","AVIBASE-BDC5CF80",9,4,5,0,4,37.8,22.8,3.8,7,16.1,262.7,181.1,80.9,69.1,179.6,110,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",41.24,83.11,67.21,-35.32,10398468.44,22694629,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4.70048036579242,16.1571690878824
"497",513,2665,"Sterna repressa","Laridae","Charadriiformes","AVIBASE-CF5C013D",5,2,3,0,4,40.6,25.5,3.8,6.4,18.2,241.4,166.2,74.8,69,136,90,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-2.4,30.65,18.35,45.26,797048.79,22694705,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4.49980967033027,13.5886711729627
"498",514,2661,"Sterna striata","Laridae","Charadriiformes","AVIBASE-E1F9123B",5,2,2,1,4,51.3,33.1,4.1,7.7,20.9,273.8,188.5,84.5,69,170,129,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-47.29,-34.39,-40.54,169.31,83485.48,22694607,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4.85981240436167,11.3324280035024
"499",515,2662,"Sterna sumatrana","Laridae","Charadriiformes","AVIBASE-9D6704AC",4,2,2,0,4,39.1,25,3.5,6,18.5,215.5,142,73.5,65.9,120.5,106,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-28,30.11,-2.63,93.2,10103250.1,22694612,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.66343909411207,16.1283677221267
"500",516,2670,"Sterna trudeaui","Laridae","Charadriiformes","AVIBASE-98FBF9CA",5,2,3,0,4,47.8,29.8,5,8.4,24,256.2,180.8,77,70.1,132.6,153,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Aerial",-43.6,-22.55,-34.16,-60.3,539946.35,22694651,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.03043792139244,13.1992250617529
"501",517,2668,"Sterna virgata","Laridae","Charadriiformes","AVIBASE-754993F1",5,0,1,4,4,33.1,17.2,3.9,6.5,17.6,249.8,171,77.2,68.8,124.4,126,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aerial",-49.74,-45.97,-49.08,67.44,7757.79,22694641,2,0,0,1,0,0,0,0,0,0,0,0,1,0,4.83628190695148,8.95645277880137
"502",518,2667,"Sterna vittata","Laridae","Charadriiformes","AVIBASE-E9C409B5",5,1,2,2,4,38.9,22.8,4.2,7.4,17.7,260,178.5,84,68,133.2,139,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-67.31,-35.61,-53.86,24.31,2102848.54,22694635,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.93447393313069,14.5588034311687
"503",519,2643,"Sternula albifrons","Laridae","Charadriiformes","AVIBASE-17310BF0",5,3,2,0,4,33.5,22.9,3.2,5.8,15.4,169.6,117,50.5,69.8,80,57,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",-43.03,66.08,40.45,68.18,11965931.09,22694656,1,0,0,1,1,0,0,1,1,0,0,0,1,0,4.04305126783455,16.2975740940989
"504",520,2645,"Sternula antillarum","Laridae","Charadriiformes","AVIBASE-BE78E765",8,4,4,0,8,29.5,19.8,3.1,5.6,14.6,165.1,114.2,51,69.1,77.8,45.9,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",10.86,48.16,29.11,-91.26,1340830.63,22694673,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3.8264651170665,14.1087998530194
"505",521,2649,"Sternula balaenarum","Laridae","Charadriiformes","AVIBASE-9F9A13D8",5,2,3,0,4,32.7,22.1,3.1,5.5,13.7,169.4,117.5,51.2,69.6,67,60,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-35.24,-16.2,-27.73,17.13,404545.26,22694699,1,0,0,1,1,1,0,1,1,0,0,0,1,0,4.0943445622221,12.9105189004451
"506",522,2647,"Sternula lorata","Laridae","Charadriiformes","AVIBASE-F9A32D38",4,2,2,0,4,34.7,22.3,2.9,5.1,13.7,173.5,118.6,54.9,68.4,73.8,53.8,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-22.95,-7.41,-17.29,-73.89,21.27,22694685,4,1,1,1,1,1,0,1,1,1,0,0,1,0,3.98527346716774,3.05729762921215
"507",523,2648,"Sternula nereis","Laridae","Charadriiformes","AVIBASE-67D8B0BA",5,3,1,1,4,35.3,23.5,3.5,6.5,15.1,178.2,126,54,70,80.6,72.3,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-43.25,-19.38,-30.98,152.78,250434.51,22694691,3,1,0,1,1,0,0,0,1,1,0,0,1,0,4.28082412916472,12.4309527282007
"508",524,2644,"Sternula saundersi","Laridae","Charadriiformes","AVIBASE-4B21F4D8",5,2,3,0,4,31.1,20.3,3.1,5.5,15.3,168,119.8,47.2,71.7,68.2,42.5,"Updated_literature","BoW","NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aerial",-0.89,28.91,11.03,61.46,257886.15,22694666,1,0,0,0,0,0,0,1,1,0,0,0,1,0,3.74950407593037,12.4602734874417
"509",525,2677,"Thalasseus bergii","Laridae","Charadriiformes","AVIBASE-526978C4",5,3,2,0,4,68.6,44.5,7.1,12.7,30,357.8,249,107.5,69.9,172.4,328,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",-44.6,30.73,-10.25,77.11,47808630.76,22694571,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5.79301360838414,17.6827167409954
"510",526,2673,"Thalasseus bernsteini","Laridae","Charadriiformes","AVIBASE-FCEF84DC",7,1,5,1,7,59.9,41.7,7.1,11.7,29.8,319.1,213.9,105.3,67,160.7,284,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",23.62,35.24,31.3,123.34,57.88,22694585,5,1,0,1,1,0,0,1,1,0,1,0,1,0,5.64897423816121,4.05837190176328
"511",527,2674,"Thalasseus elegans","Laridae","Charadriiformes","AVIBASE-3F9E1C51",5,2,3,0,4,64.4,44.6,5.8,10.3,28.2,296.6,194.5,97.5,66.6,126.6,260,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Aerial",24.14,33.83,31.85,-116.3,1309.31,22694552,2,0,0,1,0,0,0,1,1,0,0,0,1,0,5.56068163101553,7.17725555987352
"512",528,2676,"Thalasseus maximus","Laridae","Charadriiformes","AVIBASE-68EDCC23",10,4,4,2,8,73.7,45.5,8.4,14.9,32.8,363.7,224.1,141,61.4,155.1,415.3,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-45.33,41.98,13.04,-60.22,3285888.83,22694542,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6.02900115063671,15.0051477456011
"513",529,2675,"Thalasseus sandvicensis","Laridae","Charadriiformes","AVIBASE-F7504353",14,4,5,5,12,60.5,40.5,5.5,9.7,25.5,288.5,201,88.9,69.3,129,199.8,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",-45.89,59.39,3.05,-49.1,2802142.59,22694591,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5.29731686621445,14.8458948932353
"514",530,2592,"Xema sabini","Laridae","Charadriiformes","AVIBASE-86182656",7,3,4,0,4,32.1,13.4,4.4,7.7,33.3,265,156.8,107.2,59.4,114.4,198,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Generalist",62.96,81.85,72.31,80.64,563350.81,22694479,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5.28826703069454,13.2416578214186
"515",531,2430,"Pedionomus torquatus","Pedionomidae","Charadriiformes","AVIBASE-1CE50BE8",5,3,2,0,3,16.2,7.5,3.4,3.9,24.4,89,26.1,59.7,30.6,26.8,62.5,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Omnivore","Omnivore","Terrestrial",-36.43,-23.21,-29.41,142.77,32628.67,22693049,5,1,1,1,0,0,0,1,0,0,1,0,1,0,4.13516655674236,10.3929466287199
"516",532,2338,"Pluvianellus socialis","Pluvianellidae","Charadriiformes","AVIBASE-FB5103C9",7,3,3,1,6,17.3,11,3,3.4,19.8,135.7,70.8,65.7,51.9,58.4,84.1,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",-54.55,-46.91,-51.29,-70.63,109554.85,22693570,2,0,1,1,0,0,0,0,1,0,1,0,0,0,4.4320065669789,11.6041806160655
"517",533,2358,"Himantopus novaezelandiae","Recurvirostridae","Charadriiformes","AVIBASE-C26304D6",4,2,2,0,4,72.4,52.6,4.5,4.9,89.3,241.8,124.9,116.9,51.6,78.2,195,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",-44.48,-43.72,-44.18,170.11,2833.21,22693690,5,1,0,1,1,0,0,0,1,1,0,0,0,0,5.27299955856375,7.9491656234511
"518",534,2436,"Rostratula australis","Rostratulidae","Charadriiformes","AVIBASE-8CB3B219",7,3,4,0,4,48.1,38.2,3.9,6.3,40,139,42.4,92.1,31.6,49.1,121,"Dunning",NA,"NO",NA,NA,"Wetland",1,2,"Omnivore","Aquatic predator","Terrestrial",-39.14,-16.5,-31.35,145.81,1391159.82,22735692,4,1,1,1,0,0,0,0,0,1,0,0,0,0,4.79579054559674,14.145648360064
"519",535,2527,"Actitis hypoleucos","Scolopacidae","Charadriiformes","AVIBASE-8548B07E",11,2,3,6,4,30.1,19.9,3.1,4,22.4,109.9,51.1,55.4,48,57.4,48,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",29.79,71.19,55.26,79.82,25847437.41,22693264,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.87120101090789,17.0677220209293
"520",536,2459,"Arenaria interpres","Scolopacidae","Charadriiformes","AVIBASE-DC3050A9",10,5,5,0,4,25.4,15.7,3.9,5.5,25.5,148.8,83.4,66.4,55.6,61,136,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Terrestrial",55.99,83.11,72.47,-51.71,2619753.6,22693336,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4.91265488573605,14.7785908255132
"521",537,2460,"Arenaria melanocephala","Scolopacidae","Charadriiformes","AVIBASE-0413ED30",5,2,3,0,4,25.4,15.2,3.8,5,25.8,142,72.5,69.5,51.1,61.2,126.2,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Terrestrial",54.51,68.88,62.9,-163.14,83412.69,22693341,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.83786795010711,11.3315557350453
"522",538,2466,"Calidris acuminata","Scolopacidae","Charadriiformes","AVIBASE-A0A67A81",5,2,3,0,4,27.4,20.5,2.8,3.9,28.7,128.8,70.4,58.6,54.5,53.4,66.1,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",67.56,73.93,70.74,144.88,348177.87,22693414,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.19116874685764,12.7604687488686
"523",539,2473,"Calidris alba","Scolopacidae","Charadriiformes","AVIBASE-06B9BD24",5,2,3,0,4,30,21.2,3.4,4.2,23.1,119.6,62.7,57,52.3,50.2,51.7,"Dunning",NA,"NO",NA,NA,"Coastal",3,3,"Carnivore","Aquatic predator","Terrestrial",63.1,83.11,75.56,-43.49,1344741.13,22693369,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.94545778151438,14.1117120840922
